,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__searchInfo__textSnippet,items__volumeInfo__industryIdentifiers__identifier,title
22,Principles of Transgender Medicine and Surgery,,Randi Ettner,"A practical guide to state-of-the-art treatments and health care knowledge about gender diverse persons, this second edition of Principles of Transgender Medicine and Surgery presents the foremost international specialists offering their knowledge on the wide spectrum of issues encountered by gender diverse individuals. In this handy text, professionals of all types can get important information about various aspects of transgender health care for a full spectrum of clients, from childhood to advanced age. Key topics addressed include medical and surgical issues, mental health issues, fertility, the coming out process, and preventive care. This essential text is extensively referenced and illustrated, and instructs both novice and experienced practitioners on gender-affirming care.","A practical guide to state-of-the-art treatments and health care knowledge about gender diverse persons, this second edition of Principles of Transgender Medicine and Surgery presents the foremost international specialists offering their ...",9781317514596,
24,The Transgender Child,A Handbook for Families and Professionals,Stephanie Brill,"What do you do when your son insists on wearing a dress to school? Or when your toddler daughter's first sentence is that she's a boy? Offering an extensive understanding of gender-variant and transgender youth, The Transgender Child answers these questions and more. Covering developmental, legal, medical, and school issues, The Transgender Child is a comprehensive, first-of-its-kind guidebook for the unique challenges that thousands of families face raising children who step outside of the pink or blue box.","Covering developmental, legal, medical, and school issues, The Transgender Child is a comprehensive, first-of-its-kind guidebook for the unique challenges that thousands of families face raising children who step outside of the pink or blue ...",9781573443180,The Transgender Child A Handbook for Families and Professionals
26,The Complete Guide to Transgender in the Workplace,,Vanessa Sheridan,"In this groundbreaking work, an expert in transgender explains practices and policies that will lead to a healthier, happier workplace. * Includes useful tools managers and policymakers can institute in any organization * Notes policy examples from successful organizations * Provides an agenda for training on transgender issues * Offers resources for further guidance on transgender issues","In this groundbreaking work, an expert in transgender explains practices and policies that will lead to a healthier, happier workplace.",9780313365843,
28,Transfeminist Perspectives in and Beyond Transgender and Gender Studies,,Anne Enke,"Lambda Literary Award for Best Book in Transgender Nonfiction, 2013 If feminist studies and transgender studies are so intimately connected, why are they not more deeply integrated? Offering multidisciplinary models for this assimilation, the vibrant essays in Transfeminist Perspectives in and beyond Transgender and Gender Studies suggest timely and necessary changes for institutions of higher learning. Responding to the more visible presence of transgender persons as well as gender theories, the contributing essayists focus on how gender is practiced in academia, health care, social services, and even national border patrols. Working from the premise that transgender is both material and cultural, the contributors address such aspects of the university as administration, sports, curriculum, pedagogy, and the appropriate location for transgender studies. Combining feminist theory, transgender studies, and activism centered on social diversity and justice, these essays examine how institutions as lived contexts shape everyday life.","Combining feminist theory, transgender studies, and activism centered on social diversity and justice, these essays examine how institutions as lived contexts shape everyday life.",9781439907474,
30,The Transgender Teen,,Stephanie Brill,"What do you do when your son announces he is transgender and asks that you call her by a new name? Or what if your child uses a term you’ve never heard of to describe themselves (neutrois, agender, non-binary, genderqueer, androgyne…) and when you didn’t know what they meant, they left the room and now won’t speak to you about it? Perhaps your daughter recently asked you not to use gendered pronouns when referring to ‘her’ anymore, preferring that you use “they”; you’re left wondering if this is just a phase, or if there’s something more that you need to understand about your child. There is a generational divide in our understandings of gender. This comprehensive guidebook helps to bridge that divide by exploring the unique challenges that thousands of families face every day raising a teenager who may be transgender, non-binary, gender-fluid or otherwise gender-expansive. Combining years of experience working in the field with extensive research and personal interviews, the authors cover pressing concerns relating to physical and emotional development, social and school pressures, medical considerations, and family communications. Learn how parents can more deeply understand their children, and raise their non-binary or transgender adolescent with love and compassion.","Perhaps your daughter recently asked you not to use gendered pronouns when referring to ‘her’ anymore, preferring that you use “they”; you’re left wondering if this is just a phase, or if there’s something more that you need to ...",9781627781756,
32,Transgender On Screen,,J. Phillips,"This is an exploration of the cultural representations of transvestism and transsexuality in modern screen media against a historical background. Focussing on a dozen mainstream films and on shemale Internet pornography, this fascinating study demonstrates the interdependency of our perceptions of transgender and its culturally constructed images.",This is an exploration of the cultural representations of transvestism and transsexuality in modern screen media against a historical background.,9780230596337,
34,Trans-Kin,A Guide for Family and Friends Of,Eleanor A. Hubbard,"""Trans-Kin is a collection of stories from significant others, family members, friends and allies of transgender persons (SOFFAs). This 400+ page guide includes 50 personal stories plus a comprehensive glossary, list of frequently asked questions and resources including books, videos and organizations--all of which promote awareness, insight and understanding of the transgender community.""--From book website.","This 400+ page guide includes 50 personal stories plus a comprehensive glossary, list of frequently asked questions and resources including books, videos and organizations--all of which promote awareness, insight and understanding of the ...",0615630677,Trans-Kin A Guide for Family and Friends Of
36,Transgender Migrations,"The Bodies, Borders, and Politics of Transition",Trystan T. Cotten,"Transgender Migrations brings together a top-notch collection of emerging and established scholars to examine the way that the term ""migration"" can be used not only to look at the way trans bodies migrate from one gender to the (an?) other, but the way that trans people migrate in the larger geopolitical contexts of immigration reform, the war on terror, the war on drugs, and the increased policing of national borders. The book centers trans-ing experiences, identities, and politics, and treats these identities as inextricably intertwined with other social identities, institutions, and discourses of sexuality, nationality, race and ethnicity, globalization, colonialism, and terrorism. The chapter authors explore not only the movement of bodies in, through, and across spaces and borders, but also chart the metamorphoses of these bodies in relation to migration and mobility. Transgender Migrations takes the theory documented in The Transgender Studies Reader and blows it up to a global scale. It is the logical next step for scholarship in this dynamic, emerging field.","The book centers trans-ing experiences, identities, and politics, and treats these identities as inextricably intertwined with other social identities, institutions, and discourses of sexuality, nationality, race and ethnicity, ...",9780415888462,"Transgender Migrations The Bodies, Borders, and Politics of Transition"
38,Sorted,"Growing Up, Coming Out, and Finding My Place (A Transgender Memoir)",Jackson Bird,"An unflinching and endearing memoir from LGBTQ+ advocate Jackson Bird about how, through a childhood of gender mishaps and an awkward adolescence, he finally sorted things out and came out as a transgender man in his mid-twenties. When Jackson Bird was twenty-five, he came out as transgender to his friends, family, and anyone in the world with an internet connection. Assigned female at birth and having been raised a girl, he often wondered if he should have been born a boy. Jackson didn’t share this thought with anyone because he didn’t think he could share it with anyone. Growing up in Texas in the 1990s, he had no transgender role models. He barely remembers meeting anyone who was openly gay, let alone being taught that transgender people existed outside of punchlines. Today, Jackson is a writer, YouTuber, and LGBTQ+ advocate living openly and happily as a transgender man. So how did he get here? In this remarkable, educational, and uplifting memoir, Jackson chronicles the ups and downs of growing up gender confused. Illuminated by journal entries spanning childhood to adolescence to today, he candidly recalls the challenges he faced while trying to sort out his gender and sexuality, and worrying about how to interact with the world. With warmth and wit, Jackson also recounts how he navigated the many obstacles and quirks of his transition––like figuring out how to have a chest binder delivered to his NYU dorm room and having an emotional breakdown at a Harry Potter fan convention. From his first shot of testosterone to his eventual top surgery, Jackson lets you in on every part of his journey—taking the time to explain trans terminology and little-known facts about gender and identity along the way. Through his captivating prose, Bird not only sheds light on the many facets of a transgender life, but also demonstrates the power and beauty in being yourself, even when you’re not sure who “yourself” is. Part memoir, part educational guide, Sorted is a frank, humorous narrative of growing up with some unintended baggage.","An unflinching and endearing memoir from LGBTQ+ advocate Jackson Bird about how, through a childhood of gender mishaps and an awkward adolescence, he finally sorted things out and came out as a transgender man in his mid-twenties.",9781982130756,"Sorted Growing Up, Coming Out, and Finding My Place (A Transgender Memoir)"
40,The Lives of Transgender People,,Brett Genny Beemyn,"Responding to a critical need for greater perspectives on transgender life in the United States, Genny Beemyn and Susan (Sue) Rankin apply their extensive expertise to a groundbreaking survey?one of the largest ever conducted in the U.S.?on gender development and identity-making among transsexual women, transsexual men, crossdressers, and genderqueer individuals. With nearly 3,500 participants, the survey is remarkably diverse, and with more than 400 follow-up interviews, the data offers limitless opportunities for research and interpretation. Beemyn and Rankin track the formation of gender identity across individuals and groups, beginning in childhood and marking the ""touchstones"" that led participants to identify as transgender. They explore when and how participants noted a feeling of difference because of their gender, the issues that caused them to feel uncertain about their gender identities, the factors that encouraged them to embrace a transgender identity, and the steps they have taken to meet other transgender individuals. Beemyn and Rankin's findings expose the kinds of discrimination and harassment experienced by participants in the U.S. and the psychological toll of living in secrecy and fear. They discover that despite increasing recognition by the public of transgender individuals and a growing rights movement, these populations continue to face bias, violence, and social and economic disenfranchisement. Grounded in empirical data yet rich with human testimony, The Lives of Transgender People adds uncommon depth to the literature on this subject and introduces fresh pathways for future research.","Grounded in empirical data yet rich with human testimony, The Lives of Transgender People adds uncommon depth to the literature on this subject and introduces fresh pathways for future research.",9780231143066,
42,Being Jazz,My Life as a (transgender) Teen,Jazz Jennings,"Jazz Jennings is one of the youngest and most prominent voices in the national discussion about gender identity. At the age of five, Jazz transitioned to life as a girl, with the support of her parents. A year later, her parents allowed her to share her incredible journey in her first Barbara Walters interview, aired at a time when the public was much less knowledgeable or accepting of the transgender community. This groundbreaking interview was followed over the years by other high-profile interviews, a documentary, the launch of her YouTube channel, a picture book, and her own reality TV series--I Am Jazz--making her one of the most recognizable activists for transgender teens, children, and adults. In her remarkable memoir, Jazz reflects on these very public experiences and how they have helped shape the mainstream attitude toward the transgender community. But it hasn't all been easy. Jazz has faced many challenges, bullying, discrimination, and rejection, yet she perseveres as she educates others about her life as a transgender teen. Through it all, her family has been beside her on this journey, standing together against those who don't understand the true meaning of tolerance and unconditional love. Now Jazz must learn to navigate the physical, social, and emotional upheavals of adolescence--particularly high school--complicated by the unique challenges of being a transgender teen. Making the journey from girl to woman is never easy--especially when you began your life in a boy's body.","&quot;Originally published in hardcover in the United States by Crown Books for Young Readers, New York, in 2016&quot;--Copyright page.",9780399554674,Being Jazz My Life as a (transgender) Teen
44,"Gay, Lesbian, and Transgender Issues in Education","Programs, Policies, and Practices",James Sears,"Understand the challenges from the voices involved—today’s LGBT youth AND the leading educators and scholars in the field! Gay, Lesbian, and Transgender Issues in Education presents LGBT youth issues through the words of the adolescents themselves, along with clear up-to-date essays about LGBT youth programs, policies, and practices around the world. Leading international educators and scholars examine personal experiences of LGBT youth, cutting-edge programs, and research first presented in the international Journal of Gay & Lesbian Issues in Education. Dynamic and thought-provoking, this insightful book brings together ideas and a vision vital for the future of today’s LGBT youth. Invaluable for educators, counselors, graduate and undergraduate students, and LGBT youth alike, Gay, Lesbian, and Transgender Issues in Education is readily accessible and easy-to-read, yet still provides in-depth, multidimensional examinations of the LGBT youth programs and practices essential for the propagation of social tolerance, acceptance, and safety of our youth. The LGBT youth voices sing clear their views about the urgent need for programs and policies within educational resources to challenge the present dominant intolerant thinking. The editor presents cogent essays that reveal the complex issues of the educational programs and practices, while offering strategies and hope for societal change. The book strives for the ultimate goal of reaching LGBT acceptance within society, to move beyond simple toleration toward becoming completely equal regardless of sexual identity. Gay, Lesbian, and Transgender Issues in Education explores: transgender college students bullying and homophobia research on LGBT studies in education teaching elementary preservice teachers multicultural school-based programs for HIV education serving transgender youth successes and deficiencies of gay-straight alliances race and youth programs in urban high schools growing up lesbian in Australia, New Zealand, and the United States growing up gay in Japan and China Gay, Lesbian, and Transgender Issues in Education is an essential exploration of LGBT issues and an excellent educational tool for educators, undergraduate and graduate students, counselors, social workers, LGBT youth, and for any professional working with LGBT youth.","Dynamic and thought-provoking, this insightful book brings together ideas and a vision vital for the future of today’s LGBT youth.",9781136614163,"Gay, Lesbian, and Transgender Issues in Education Programs, Policies, and Practices"
46,Terrorizing Gender,Transgender Visibility and the Surveillance Practices of the U. S. Security State,Mia Fischer,"The increased visibility of transgender people in mainstream media, exemplified by Time magazine's declaration that 2014 marked a ""transgender tipping point,"" was widely believed to signal a civil rights breakthrough for trans communities in the United States. In Terrorizing Gender Mia Fischer challenges this narrative of progress, bringing together transgender, queer, critical race, legal, surveillance, and media studies to analyze the cases of Chelsea Manning, CeCe McDonald, and Monica Jones. Tracing how media and state actors collude in the violent disciplining of these trans women, Fischer exposes the traps of visibility by illustrating that dominant representations of trans people as deceptive, deviant, and threatening are integral to justifying, normalizing, and reinforcing the state-sanctioned violence enacted against them. The heightened visibility of transgender people, Fischer argues, has actually occasioned a conservative backlash characterized by the increased surveillance of trans people by the security state, evident in debates over bathroom access laws, the trans military ban, and the rescission of federal protections for transgender students and workers. Terrorizing Gender concludes that the current moment of trans visibility constitutes a contingent cultural and national belonging, given the gendered and racialized violence that the state continues to enact against trans communities, particularly those of color.","In Terrorizing Gender Mia Fischer challenges this narrative of progress, bringing together transgender, queer, critical race, legal, surveillance, and media studies to analyze the cases of Chelsea Manning, CeCe McDonald, and Monica Jones.",9781496218506,Terrorizing Gender Transgender Visibility and the Surveillance Practices of the U. S. Security State
48,Love Lives Here,A Story of Thriving in a Transgender Family,Amanda Jette Knox,"NATIONAL BESTSELLER An inspirational story of accepting and embracing two trans people in a family--a family who shows what's possible when you ""lead with love."" All Amanda Jetté Knox ever wanted was to enjoy a stable life. She never knew her biological father, and while her mother and stepfather were loving parents, the situation was sometimes chaotic. At school, she was bullied mercilessly, and at the age of fourteen, she entered a counselling program for alcohol addiction and was successful. While still a teenager, she met the love of her life. They were wed at 20, and the first of three children followed shortly. Jetté Knox finally had the stability she craved--or so it seemed. Their middle child struggled with depression and avoided school. The author was unprepared when the child she knew as her son came out as transgender at the age of eleven. Shocked, but knowing how important it was to support her daughter, Jetté Knox became an ardent advocate for trans rights. But the story wasn't over. For many years, the author had coped with her spouse's moodiness, but that chronic unhappiness was taking a toll on their marriage. A little over a year after their child came out, her partner also came out as transgender. Knowing better than most what would lie ahead, Jetté Knox searched for positive examples of marriages surviving transition. When she found no role models, she determined that her family would become one. The shift was challenging, but slowly the family members noticed that they were becoming happier and more united. Told with remarkable candour and humour, and full of insight into the challenges faced by trans people, Love Lives Here is a beautiful story of transition, frustration, support, acceptance, and, of course, love.","Told with remarkable candour and humour, and full of insight into the challenges faced by trans people, Love Lives Here is a beautiful story of transition, frustration, support, acceptance, and, of course, love.",9780735235182,Love Lives Here A Story of Thriving in a Transgender Family
50,Traversing Gender,Understanding Transgender Realities,Lee Harrington,"In the current age of gender identity and transgender awareness, many questions are coming to light for everyone. Whether brought about by media and cultural attention or personal journeys, individuals who have never heard of transgender, transsexual, or gender variant people can feel lost or confused. Information can be hard to find, and is often fragmented or biased. Meanwhile, trans people are getting a chance to dialogue with each other and finally be heard by the world at large. In Traversing Gender: Understanding Transgender Realities, author Lee Harrington helps make the intimate discussions of gender available for everyone to understand. Topics include: What the words ""trans"" ""transgender"" mean, differences (and crossovers) between sex, gender, and orientation, the wide array and types of trans experiences , social networking and emotional support systems for trans people, navigating medical care, from the common cold to gender-specific procedures, what ""transitioning"" looks like, from a variety of different approaches, how legal systems interplay with gender and trans issues, extra challenges based on gender, race, class, age and disability, skills and information on being a successful trans ally. Bringing these personal matters into the light of day, this reader-friendly resource is written for students, professionals, friends, and family members, as well as members of the transgender community itself.","In Traversing Gender: Understanding Transgender Realities, author Lee Harrington helps make the intimate discussions of gender available for everyone to understand.",9781942733836,Traversing Gender Understanding Transgender Realities
52,Transgender History & Geography: Crossdressing in Context,,Bolich,"The third in a landmark five volume study of transgender realities, with a focus on crossdressing, this fascinating volume offers a tour through history and around the world. Within these pages are found the most famous crossdressers of history and information as to what it means to be a transgender person in the various countries of the world today.","The third in a landmark five volume study of transgender realities, with a focus on crossdressing, this fascinating volume offers a tour through history and around the world.",9780615167664,
54,Raising the Transgender Child,"A Complete Guide for Parents, Families, and Caregivers",Michele Angello,"Written by top experts in the field, Raising the Transgender Child offers much-needed answers to all the questions parents and other adults ask about raising and caring for transgender and gender diverse children: Is this just a phase? Did I do something to cause this? How do we protect these children? Who should I tell, and how? Will anyone love my child? Written by Dr. Michele Angello, a leading therapist and go-to expert in the field of transgender parenting, and Ali Bowman, bestselling writer and parent advocate, Raising the Transgender Child helps readers champion and celebrate gender diverse children while at the same time shedding fear, anger, sadness, and embarrassment. With specific and actionable advice—including coming-out letters, identity challenges, school and caregiver communications, and more —the guide provides a wealth of science-backed information alongside friendly and practical wisdom that is sure to comfort, guide, and inspire the family and friends of transgender and gender diverse children.","Written by Dr. Michele Angello, a leading therapist and go-to expert in the field of transgender parenting, and Ali Bowman, bestselling writer and parent advocate, Raising the Transgender Child helps readers champion and celebrate gender ...",9781580056366,"Raising the Transgender Child A Complete Guide for Parents, Families, and Caregivers"
56,Struggling for Ordinary,Media and Transgender Belonging in Everyday Life,Andre Cavalcante,"An in-depth look at the role of media in the struggle for transgender inclusion From television shows like Orange is the New Black and Transparent, to the real-life struggles of Caitlyn Jenner splashed across the headlines, transgender visibility is on the rise. But what was it like to live as a transgender person in a media environment before this transgender boom in television? While pop culture imaginations of transgender identity flourish and shape audience’s perceptions of trans identities, what does this new media visibility mean for transgender individuals themselves? Struggling for Ordinary engagingly answers these questions, offering a snapshot of how transgender individuals made their way toward a sense of ordinary life by integrating available media into their everyday experiences. Drawing on in-depth interviews with transgender communities, Andre Cavalcante offers a richly detailed account of how the media impacts the lives and experiences of transgender individuals. He grippingly looks at the emotional toll that media takes on this population along with their resilience in the face of disempowerment. Deeply rooted in the life stories of transgender people, the book uses everyday circumstances to show how media and technology operate as a medium through which transgender individuals are able to cultivate an understanding of their identities, build inhabitable worlds, and achieve the routine affordances of everyday life from which they are often excluded. Expertly researched and eloquently argued, Struggling for Ordinary sheds a fascinating new light of the everyday struggles of individuals and communities, to seek a life in which transgender identity is fully integrated into the ordinary.","Deeply rooted in the life stories of transgender people, the book uses everyday circumstances to show how media and technology operate as a medium through which transgender individuals are able to cultivate an understanding of their ...",9781479864584,Struggling for Ordinary Media and Transgender Belonging in Everyday Life
58,Sexual Orientation and Transgender Issues in Organizations,Global Perspectives on LGBT Workforce Diversity,Thomas Köllen,"Over the last decade workforce diversity has attracted much scientific attention. Given the shortage of literature on issues related to homosexual, bisexual and transgender employees, compared to other facets of workforce diversity, this book opens up new perspectives on this issue. Emphasis is placed on the equal consideration of gay, lesbian, bisexual, and transgender issues. Thus the predominance of lesbian and gay issues in LGBT research (and practice), will be contrasted by an explicit consideration of the unique experiences, stressors and related needs of bisexual and transgender employees. Contributions provide deeper insights into the differing experiences the whole spectrum of LGBT employees make in the workplace in different national and occupational contexts. Furthermore, the collection offers contextualized insights for evaluating and conceptualizing organizational initiatives aiming at a higher level of inclusion for LGBT employees.","Given the shortage of literature on issues related to homosexual, bisexual and transgender employees, compared to other facets of workforce diversity, this book opens up new perspectives on this issue.",9783319296234,Sexual Orientation and Transgender Issues in Organizations Global Perspectives on LGBT Workforce Diversity
60,Transgender Athletes in Competitive Sport,,Eric Anderson,"While efforts to include gay and lesbian athletes in competitive sport have received significant attention, it is only recently that we have begun examining the experiences of transgender athletes in competitive sport. This book represents the first comprehensive study of the challenges that transgender athletes face in competitive sport; and the challenges they pose for this sex-segregated institution. Beginning with a discussion of the historical role that sport has played in preserving sex as a binary, the book examines how gender has been policed by policymakers within competitive athletics. It also considers how transgender athletes are treated by a system predicated on separating males from females, consequently forcing transgender athletes to negotiate the system in coercive ways. The book not only exposes our culture’s binary thinking in terms of both sex and gender, but also offers a series of thought-provoking and sometimes contradictory recommendations for how to make sport more hospitable, inclusive and equitable. Transgender Athletes in Competitive Sport is important reading for all students and scholars of the sociology of sport with an interest in the relationship between sport and gender, politics, identity and ethics.",This book represents the first comprehensive study of the challenges that transgender athletes face in competitive sport; and the challenges they pose for this sex-segregated institution.,9781315304250,
