,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
61,Women and Kinship,Comparative Perspectives on Gender in South and South-East Asia,Leela Dube,"This is the first sustained effort to compare South and South-East Asia in respect of the situation of women. Arguing that kinship systems provide an important context in which gender relations are located, the study overlooks at three types of kinship system, found in their carious forms in the two regions of Asia--predominantly patrilineal South Asia and predominantly bilateral South-East Asia, with a presence of matriliny in both. The treatment of kinship departs significantly from what is usually found. Gender permeates the examination of the chosen themes, which include group placement and perpetuation, entitlement to and rights over resources, marriage, conjugal relations, implications of residence, rights over space and children, family structures and kin networks, work, female sexuality, and limits set by bodily processes. The underlying assumptions is that kinship systems are neither innocuous nor immutable, and, operating through material relations, they express themselves most effective through values and ideology. For comparison are taken up selected populations of Bangladesh, India, Indonesia, Malaysia, Nepal, Pakistan, the Philippines, and Thailand--representing Hinduism, Islam, Buddhism, and Christianity. The results are striking: South-East Asian women's unusual degree of autonomy in economic and social life and the relative egalitarianism between the sexes contrast sharply with the situation in South Asia, characterized by strong patriliny, patrilocal family structure, women's lack of rights, and concern about female sexuality. Many other contrasts in respect of gender parities and disparities, including education, nutrition, health, and work emanate from contrasting features of kinship. Rich in information ad insights, the book fills a gap in gender studies at the same time as it challenges facile generalizations and provokes probing into apparently similar phenomena.",UOM:39015039887446,Women and Kinship Comparative Perspectives on Gender in South and South-East Asia
62,Gender and Work in Capitalist Economies,,Pamela Odih,"Odih explores the sociological aspects of work, time and gender. The trend towards the regulation and commodification of work and leisure time is examined along with other links between work, culture, identity and time.",STANFORD:36105124104519,
64,Gender Development,,"Susan Golombok, PhD","Gender Development is the first book to examine gender from a truly developmental perspective, and provides an up-to-date integrative review of theory and research.",0521408628,
67,Gender Approaches in the Translation Classroom,Training the Doers,Marcella De Marco,"This volume examines strategies for embedding gender awareness within translation studies and translator training programmes. Drawing on a rich collection of theoretically-informed case studies, its authors provide practical advice and examples on implementing gender-inclusive approaches and language strategies in the classroom. It focuses on topics including, how to develop gender-inclusive practices to challenge students’ attitudes and behaviours; whether there are institutional constraints that prevent trainers from implementing non-heteronormative practices in their teaching; and how gender awareness can become an everyday mode of expression. Positioned at the lively interface of gender and translation studies, this work will be of interest to practitioners and scholars from across the fields of linguistics, education, sociology and cultural studies.",9783030043902,Gender Approaches in the Translation Classroom Training the Doers
69,Gender Equality in Changing Times,Multidisciplinary Reflections on Struggles and Progress,Angela Smith,"This edited collection explores issues of gender equality in the global context. Campaigns to achieve gender equality throughout the twentieth century brought about huge changes in westernised countries. In particular, the achievements of second-wave feminism with regards to gender and sexual equality benefit many people today. The famous 'seven demands' of the second-wave movement form the basis of the chapters of this book, probing the advances made legally, socially and culturally. Contributors to this collection acknowledge the advances brought about by the second-wave movement, but highlight the work which still needs to be done in the twenty-first century, including the changes in society that have resulted in shifts in masculinity. Gender Equality in Changing Times is divided into two parts, following an overview of theoretical debates and social contexts that lead us to the current period of gender and sexual relations. Part One looks at gender equality by exploring the 'experience' of being part of a group where gender boundaries still exist, drawing on auto-ethnographies of those in key groups that are central to this debate, as well as interviews with members of such groups. Part Two investigates wider representations of these groups, offering an insight into the geopolitical world of gender relations in Saudi Arabia and China. Ultimately, this collection shows how much has been achieved, yet how far is also left to go. Students and scholars across a range of disciplines, including gender studies, history, education, sociology, media studies, politics, business studies, cultural studies and English literature and linguistics, will find this book of interest.",9783030265700,Gender Equality in Changing Times Multidisciplinary Reflections on Struggles and Progress
72,Cultural Studies of LEGO,More Than Just Bricks,Rebecca C. Hains,"This collection examines LEGO from an array of critical and cultural studies approaches, foregrounding the world-renowned brand's ideological power and influence. Given LEGO’s status as the world’s largest toy manufacturer and a transnational multimedia conglomerate, Cultural Studies of Lego: More Than Just Bricks considers LEGO media's cultural messages; creativity with and within LEGO artifacts; and diversity within the franchise, including gender and race representation. The chapters’ in-depth analyses of topics including LEGO films, marketing tactics, play sets, novelizations, and fans offer compelling insights relevant to those interested in the LEGO brand and broader trends in the children’s popular culture market alike.",9783030326647,Cultural Studies of LEGO More Than Just Bricks
74,Feminist Activism and Digital Networks,Between Empowerment and Vulnerability,Aristea Fotopoulou,"This book sheds new light on the way that, in the last decade, digital technologies have become inextricably linked to culture, economy and politics and how they have transformed feminist and queer activism. This exciting text critically analyses the contradictions, tensions and often-paradoxical aspects that characterize such politics, both in relation to identity and to activist practice. Aristea Fotopoulou examines how activists make claims about rights online, and how they negotiate access, connectivity, openness and visibility in digital networks. Through a triple focus on embodied media practices, labour and imaginaries, and across the themes of bodily autonomy, pornography, reproduction, and queer social life, she advocates a move away from understandings of digital media technologies as intrinsically exploitative or empowering. By reinstating the media as constant material agents in the process of politicization, Fotopoulou creates a powerful text that appeals to students and scholars of digital media, gender and sexuality, and readers interested in the role of media technologies in activism.",9781137504715,Feminist Activism and Digital Networks Between Empowerment and Vulnerability
76,"Girls, Autobiography, Media",Gender and Self-Mediation in Digital Economies,Emma Maguire,"This book investigates how girls’ automedial selves are constituted and consumed as literary or media products in a digital landscape dominated by intimate, though quite public, modes of self-disclosure and pervaded by broader practices of self-branding. In thinking about how girlhood as a potentially vulnerable subject position circulates as a commodity, Girls, Autobiography, Media argues that by using digital technologies to write themselves into culture, girls and young women are staking a claim on public space and asserting the right to create and distribute their own representations of girlhood. Their texts—in the form of blogs, vlogs, photo-sharing platforms, online diaries and fangirl identities—show how they navigate the sometimes hostile conditions of online spaces in order to become narrators of their own lives and stories. By examining case studies across different digital forms of self-presentation by girls and young women, this book considers how mediation and autobiographical practices are deeply interlinked, and it highlights the significant contribution girls and young women have made to contemporary digital forms of life narrative.",9783319742373,"Girls, Autobiography, Media Gender and Self-Mediation in Digital Economies"
85,Chromosome Kids Like Me,,Annette Fournier,"Chromosome Kids Like Me is a sweet, fun story that takes something complex - understanding chromosome disorders - and compares it to something we can all understand - socks! This charming book is the perfect way to teach children (and adults!) about chromosome abnormalities and what makes the people who have them special. Written by the mother of a child with unique chromosomes and reviewed by a geneticist, this easy-to-understand book will warm your heart and help you understand and explain chromosome disorders.",1718986297,
88,Last Stop on Market Street,,Matt De la Peña,"Sometimes when you're surrounded by dirt, CJ, you're a better witness for what's beautiful.' CJ begins his weekly bus journey around the city with disappointment and dissatisfaction, wondering why he and his family can't drive a car like his friends. Through energy and encouragement, CJ's nana helps him see the beauty and fun in their routine. This beautifully illustrated, emotive picture book explores urban life with honesty, interest and gratitude. Last Stop on Market Street has won multiple awards and spent time at the number one spot in the New York Times Bestseller List.",0141374187,
90,The Diversity of Life,,Edward O. Wilson,The classic story of how life on Earth evolved and how the diversity of the species is threatened unless whole ecosystems are rescued. Color plates.,0393319407,
92,Red Apple in an Orange World,,Courtney Beshear Cooke,"You're plum perfect! Sometimes we can feel like there is something wrong with us or that we don't fit in. Come along on Red the Apples's journey as he listens to the Can Bees rather than the pesky Should Bees and speaks up for himself and his fellow fruit! Join these powerful produce on this playful picnic! Includes free downloadable song! From a mom that believes in her son's inner wisdom, Sweet Mama Books playfully sparks mindful conversations. Nurture children's trust and language for their inner voice, while connecting with yours, through fun and empowering books and music.",1733025405,
94,Spirituality in Diversity,South East Asia Meets South Africa : Towards a Global View of Spiritual Counselling,Ulrike Elsdörfer,"The purpose of this book is to introduce the special phenomenon of Spiritual Counselling, as it is practised by Christians in South East Asian countries in the last 50 years. Reference is also made to the current theory and practice of Spiritual Care and Counselling, especially as a practice of Christian churches in different countries, predominantly in Indonesia. Previously, it was noticed that there was a lack of knowledge on the above-mentioned field, at least in the European context, but also globally. The author is part of an academic exchange on the subject of Spiritual Counselling between the two regions described: Indonesia (India and Japan attached) and South Africa. The latter is looked at with special regard to Spiritual and/or Pastoral Counselling. The theological frame of reference is Public Theology. It lays foundations, explores and designs the social implications of religious work, especially in multi-religious societies. The book does not aim at giving a perfect survey of the current state of research in the field. It is based on encounters with colleagues, interviews and documents",1928523005,Spirituality in Diversity South East Asia Meets South Africa : Towards a Global View of Spiritual Counselling
96,What Makes Us Unique?,Our First Talk about Diversity,Jillian Roberts,"Grade level: 1, 2, k, p, e.",1459809483,What Makes Us Unique? Our First Talk about Diversity
98,The Planet Hue,,Corkey Hay DeSimone,The Planet Hue teaches children how to mix the three primary colors while touching on important ideas such as tolerance and peace.,0974792101,
102,"White Cat, Black Cat",,Chiki Kikuchi,"There once was a white cat and a black cat, who were never far apart. They spent all their days playing together in the grass, in the mud, or among the colorful trees. They would stop by the river and watch the sunset. Although they loved each other very much, they were very different; while the white cat was admired for her beauty, the black cat was ignored. The gorgeous art captivates readers throughout and color-splashed black and white brush stroke illustrations also show the dynamic sense of movement on each page. Told in simple sentences, White Cat, Black Cat is a story about the best of friends, who love, cherish, and each admires the qualities in the other that set them apart.",1595727124,
104,Teachable Moments,Short Stories to Spark Diversity Dialogue,Steve L. Robbins,"A nationally recogonized resource on issues of diversity and inclusion, Dr. Steve L. Robbins has created a collection of short stories that will make you laugh, challenge you to think and inspire you to act to make a better world for all. Read and see why organizations like PepsiCo, Toyota Motor, Herman Miller, the National Security Agency, Trinity Health System and myriad others invite Dr. Robbins to challenge, inspire and motivate them to be the best they can be.",1589615336,Teachable Moments Short Stories to Spark Diversity Dialogue
108,Raising Children to Become Caring Contributors to the World,A Resource Guide for Families and Educators,Kelly Swanson Turner,"""This resource guide offers ideas and resources for encouraging elementary school children to develop their sense of civic responsibility. The better our children understand others and get along with them, the more successful they will be and the better the world will be""--P. 2.",0965172244,Raising Children to Become Caring Contributors to the World A Resource Guide for Families and Educators
110,Diversity Conversations,,Eric M. Ellis M.A.,A discussion of how to consider and communicate about diversity and its impact in a variety of social situations.,0578113929,
112,Beautifully Made,Abby's First Pageant,Denise Crowell,"Are you desperate and in need of a miracle or know someone who does? Are you facing what seems to be an impossible situation? Has your heart been broken and you wonder if the emotional pain you feel will ever go away? You may be wondering if miracles still happen today and if God could possibly have a miracle for you. Rest assured the answer is a resounding yes! Most are not aware that receiving a miracle from God is easier than one might think. In Believe and Receive Your Miracle, Today, author Mary Ellen Gordon shares personal testimonies along with ten revelations from the Word of God, which when acted upon, will enable you to receive the miracle that you need. You will learn how to live life in the supernatural, where miracles happen every day! The author has sought simplistically to convey """"The Truth,"""" which has set many free from every form of sickness, bondage, and unacceptable circumstance. If you need to be healed physically, mentally, emotionally, or spiritually, or if you are in need of a financial miracle, the healing of a broken heart or loss of any kind--join the author and read real-life stories about people just like yourself who discovered that truly--with God, All Things Are Possible!",1628541458,Beautifully Made Abby's First Pageant
114,Student Engagement in Higher Education,Theoretical Perspectives and Practical Approaches for Diverse Populations,Shaun R. Harper,"This work makes clear that diverse populations of students experience college differently and encounter group-specific barriers to success. Informed by relevant theories, each chapter focuses on a different population for whom research confirms that engagement and connectivity to the college experience are problematic.",0415988519,Student Engagement in Higher Education Theoretical Perspectives and Practical Approaches for Diverse Populations
116,Color of Love,Color of Love is Red,Gloria Price,"The Color of Love is about diversity and how we are all created equally. It explains to the young reader how even though we look different we are all human. To solidify our commonalities; the source of life, our blood can be exchanged. This is what relates us and makes us the human race. In todays society our children need to get a clear understanding of equality among the people. It is up to us as parents to explain character and aid them in becoming morally sound individuals who respect their fellowman, woman, and child.",9798585096655,Color of Love Color of Love is Red
117,Just Jen,Living with Invisible Differences,R. S. Hibbard,"In this funny, heartwarming celebration of kindness and inclusion, spunky grade school narrator Jenna, or Jen (as she prefers), shares all about living with invisible differences. Jen skips through life, introducing readers to methods of coping with congenital anomalies, including hearing loss, palate and heart defects, and scoliosis caused by 22q11.2 DS. Hilarious illustrations and the story reference differences such as autism, peanut allergy, diabetes, NG tubes, sensory preferences, CHD, asthma, Lyme disease, lupus, contrasting opinions on tuna, and more. Kid-friendly glossary explains concepts and medical lingo to readers of all ages. A colorable perfect primer on empathy for school aged children, Just Jen teaches readers to be kind, be yourself, and accept others as they are.",0692873619,Just Jen Living with Invisible Differences
119,Affirmative Action,,Bryan J. Grapes,A collection of discussions and essays offers varying viewpoints on topics regarding affirmative action.,0737702893,
121,"I May Not Be Like You, But We Could Be Friends",,Sabrena Bishop,"The story is a valuable lesson on the importance of individual differences, sharing feelings, being a good friend, dealing with bullies, teasing and painful childhood lessons. The bright and colorful illustrations of childhood contexts such as school, parks, and libraries are captivating and entertaining for early readers",1948071991,
123,Harry Highpants,,Tony Wilson,"Everybody in town wears their pants at a different height: Mum is on the high side and the builders down the road are definitely on the low side. Harry Highpants wears his pants very, very high. Then Roy Bland, running for Mayor, decides to make a law saying that all pants must be worn at 'normal height'. As a result the kids organise a Free Pants Convention, a festival of pants. And Harry Highpants shows himself to be a pants champion, and strikes a blow for pants freedom!",1862916047,
127,Living together in multi-ethnic neighbourhoods,The meaning of public spaces for issues of social integration,Karin Peters,"In Western societies, such as the Netherlands, people with different ethnic backgrounds live together in urban areas. This book examines daily life in multi-ethnic neighbourhoods and the meaning of public spaces for social integration. Through observations and interviews in two Dutch cities (Nijmegen and Utrecht) insight is gained into the use and perception of public spaces. Positive experiences in public spaces contribute to feeling at home in a multi-ethnic neighbourhood. Not only intense and lasting contacts, but also fleeting interactions contribute to feeling at home. Experience with diversity contributes to a realistic view of multiculturalism, a view that is based on everyday experiences, with all its positive and negative implications. This, however, does not mean that residents do not use stereotypes or categorizations. However, there is a major difference between the public discourse - which focuses on differences and problems - and everyday encounters, which are perceived as a way to experience and enjoy diversity. Recommendations are that politicians should look at the everyday realities in multi-ethnic neighbourhoods when discussing issues related to multi-ethnic societies. Repeatedly stressing the dichotomy between native and non-native Dutch citizens and focusing on problems, has a negative effect on the everyday lives of people because it produces and reproduces stereotyped images. Integration is not only about non-native Dutch residents adapting themselves to Dutch society: it is also about the extent to which people from various backgrounds live together and feel at home in their neighbourhood.",9789086861903,Living together in multi-ethnic neighbourhoods The meaning of public spaces for issues of social integration
130,Trans Is Beautiful,,Lyle O'Mara,"Trans Is Beautiful - 28 portrait drawings (created by the artist and illustrator Lyle O'Mara) and interviews that feature transgender and non-binary people from around the world, including the Youtubers ContraPoints and Chase Ross, writer and manga artist Fahr Sindram, and many other creatives! You can read about what made them realise they were trans, what they love about being who they are, but also what they struggle with and things you shouldn't ask them if you're cisgender. This book is for everyone who wants to feel less alone and/or who's questioning their gender or simply wants to find out more about what it's like to be trans and see how diverse and beautiful this community is. It also includes a glossary for a bunch of terms that are used in the trans community, so you can learn what words like genderqueer, ftm, or hrt mean if you're not. Disclaimer: Some individuals use strong language which is why it may not be appropriate for children to read.",197789688X,
134,We Paint the World with Colour,,Enlighten Press,What makes our world beautiful is variety. In this book we use simple similes to express the beauty of diversity in all our friends.,1925547183,
136,It's My Pond,,Claire Garralon,"What happens when you want something so badly that you forget why you wanted it in the first place? Join yellow duck, white duck, red duck - ducks of every colour - as they discover how much more fun their pond is when they stop worrying about who owns it, and start sharing and playing in it together instead. Until a hippopotomus appears... A sweet and funny story about the importance of equality and sharing KEY SELLING POINTS - Vibrant illustrations use bold colours and simple shapes to keep the story's positive message fun and easy to understand - A great way to encourage children to actively consider how they interact with the objects and people around them",1911496026,
140,Another Day in Our World,,Sara Mithen,"Do you remember Joshua? He is older now and at school! Let's find out how our new school age friends spend their time. Meet Ragi from India, Lu from China and Marco from Italy in 'Another Day In Our World' and discover their similarities and differences.",0648564673,
142,Poetino Piccolino Saves the Day,,Josephine Gambini,"In Poetino Piccolino Saves the Day, the main character, Poetino Piccolino, a toppolino bianco, (little white mouse) takes us on an exciting adventure as he rescues his amici (friends) as they roam through Rome, Italy. Experience the feroce leone (ferocious lion) and gladiator with his lancia (spear) at the coliseum as Poetino Piccolino unflinchingly faces them and saves his friends. Run with Poetino Piccolino as he takes us to the Forum, the Fontana di Trevi (Trevi Fountain), the Spanish Stairs, etc Don't miss having a gelato (ice cream) and biscotto (cookie) with Poetino Piccolino and his friends as they celebrate his saving the day! The beautifully shaded color illustration bring Rome, the characters and events in the story to life.",0982949634,
144,Managing Multiculturalism in the Classroom,,Arthur Boyer,"This phenomenological study involved an examination of multiculturalism in classrooms and multicultural leadership. Ten multicultural college professors shared their daily lived experiences pertaining to their perceptions of multiculturalism in classrooms and multicultural leadership. The research encompassed a triangulation of individual interviews, a focus group, and the researcher's reflective journal. Findings revealed the increasing focus on multiculturalism in classrooms and accentuated its impact in the viability and vitality of the diverse American society. The researcher built the case for multiculturalism in diverse classrooms and multicultural leadership.",0692504109,
146,Community,Voices Toward Equity West Hartford Listens,,"Authentic conversations about the reality of racial, economic, and social-cultural inequity are often difficult to even begin, particularly in an increasingly polarized environment. Hearing other's stories brings new consciousness about the feelings and perspectives of others and new awareness of what influences our sense of identity and community. By viewing hearing, and seeking out the stories of community members within and beyond this book, you will gain insight about the beliefs, experiences, and biases that impact relationships in our diverse community.",OCLC:1021075075,Community Voices Toward Equity West Hartford Listens
147,E. Marlow Bryne & the Scrode : a Tale about Diversity,,,"E. Marlow Bryne, who likes diversity, meets The Scrode who makes all things yellow and the same. Finally E. Marlow thinks of a way to return things to their original conditions.",1567010121,
154,Children Just Like Me,A New Celebration of Children Around the World,,"A favorite in classrooms, libraries, and homes, ""Children Just Like Me"" is a comprehensive view of international cultures, exploring diverse backgrounds from Argentina to New Zealand to China to Israel. With this brand new edition, children will learn about their peers around the world through engaging photographs and understandable text laid out in DK's distinctive style. Highlighting 36 different countries, ""Children Just Like Me"" profiles 44 children and their daily lives. From rural farms to busy cities to riverboats, this celebration of children around the world shows the many ways children are different and the many ways they are the same, no matter where they live. Meet Bolat, an eight-year-old from Kazakhstan who likes to cycle, play with his pet dogs, and play the dromba; Joaquin from New Jersey who enjoys reading and spending time with his family, and whose favorite food is bacon; or Yaroslav from Moscow who likes to make robots. Daily routines, stories of friends and family, and dreams for the future are spoken directly from the children themselves, making the content appropriate and interesting to draw in young readers. To celebrate the twentieth anniversary of this special project, all-new photography, maps, and facts give unique insight to children's lives in our world today showing their homes, food, outfits, schools, families, and hobbies. A passport to a celebratory journey around the world, ""Children Just Like Me"" is perfect for children who are curious about the children of the world and their stories.",146545392X,Children Just Like Me A New Celebration of Children Around the World
159,Equity and the Constitution,"The Supreme Court, Equitable Relief, and Public Policy",Gary L. McDowell,"Since the landmark desegregation decisions in the Brown vs. Board of Education cases, the proper role of the federal judiciary has been hotly debated. Has the federal judiciary, in its attempt to legislate social policy, overstepped its constitutional boundaries? In this volume, Gary McDowell considers the equity power created by Article III of the Constitution, on which the most controversial decisions of the Supreme Court have rested. He points out the equity was originally understood as an extraordinary means of offering relief to individuals in cases of fraud, accident, mistake, or trust and as a means of ""confining the operation of unjust and partial laws."" It has now been stretched to offer relief to broadly defined social classes. This ""sociological"" understanding, in McDowell's view, has undermined equity as a substantive body of law. He urges a return to the former definition as a means of restraining the reach of federal jurisdiction.",9780226558141,"Equity and the Constitution The Supreme Court, Equitable Relief, and Public Policy"
161,Equity & Trusts,,Alastair Hudson,This new edition considers all of the academic commentary governing the area of equity and trusts - in particular the emerging law of restitution and the raft of new case law over the 1990s. It is suitable both as a sholarly reference and as a resource for students.,9781135337353,
