,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
18,Nuestras hijas y nuestros hijos,"preguntas y respuestas para padres de gays, lesbianas y bisexuales",Parents & Friends of Lesbians and Gays,This kit contains 5 english pamplets about LGBTQ information and 2 spanish pamplets.,OCLC:1101145439,"Nuestras hijas y nuestros hijos preguntas y respuestas para padres de gays, lesbianas y bisexuales"
22,Microaggressions and Traumatic Stress,"Theory, Research, and Clinical Treatment",Kevin L. Nadal,"Challenging current definitions of trauma, this brief but comprehensive volume features significant new research and case studies looking at how regular exposure to subtle social discrimination in the form of microaggressions can, over time, elicit similar symptoms to severe trauma",143382860X,"Microaggressions and Traumatic Stress Theory, Research, and Clinical Treatment"
24,Microaggressions and Philosophy,,Lauren Freeman,"This is the first book to offer a philosophical engagement with microaggressions. It aims to provide an intersectional analysis of microaggressions that cuts across multiple dimensions of oppression and marginalization, and to engage a variety of perspectives that have been sidelined within the discipline of philosophy. The volume gathers a diverse group of contributors: philosophers of color, philosophers with disabilities, philosophers of various nationalities and ethnicities, and philosophers of several gender identities. Their unique frames of analysis articulate both how the concept of microaggressions can be used to clarify and sharpen our understanding of subtler aspects of oppression and how analysis, expansion, and reconceiving the notion of a microaggression can deepen and extend its explanatory power. The essays in the volume seek to defend microaggressions from common critiques and to explain their impact beyond the context of college students. Some of the guiding questions that this volume explores include, but are not limited to, the following: Can microaggressions be established as a viable scientific concept? What roles do microaggressions play in other oppressive phenomena like transphobia, fat phobia, and abelism? How can epistemological challenges around microaggressions be addressed via feminist theory, critical race theory, disability theory, or epistemologies of ignorance? What insights can be gleaned from intersectional analyses of microaggressions? Are there domain-specific analyses of microaggressions that would give insight to features of that domain, i.e. microaggressions related to sexuality, athletics, immigration status, national origin, body type, or ability. Microaggressions and Philosophyfeatures cutting-edge research on an important topic that will appeal to a wide range of students and scholars across disciplines. It includes perspectives from philosophy of psychology, empirically informed philosophy, feminist philosophy, critical race theory, disability theory, philosophy of language, philosophy of science, and social and political philosophy.",0367077418,
26,The Mask of Microaggressions,Studies of Racism in the U. S.,Mark Tschaepe,"""This book addresses the need for teachers and students to have a shared resource that speaks to the ongoing instances of racial injustice in American society. While providing an academic foundation to engage in historical and ethical research, this book intends to demonstrate that racism has not disappeared from the American landscape and continues to influence our society and public policies."" --back cover.",1524914460,The Mask of Microaggressions Studies of Racism in the U. S.
28,"Microaggressions and Social Work Research, Practice and Education",,Michael S. Spencer,"While blatant forms of racism and discrimination have largely been condemned in our society, systematic oppression and racism can be manifested in a less obvious form, as 'microaggressions'. The term, originally developed in the 1970s by Chester Peirce to describe the ways in which Black people were ""put down"" by their White counterparts, has since been expanded to describe both conscious and unconscious acts that reflect superiority, hostility, and racially inflicted insults and demeanors to marginalized groups of people. This book provides a platform for social work researchers, scholars, and practitioners to present their research, ideas, and practices pertaining to ways in which microaggressions and other subtle, but lethal forms of discrimination impact marginalized populations within social work and human services. Contributors discuss the impact of microaggressions in social work as they relate to race; gender and gender expression; sexual orientation; class; and spirituality. The book also examines curriculum, pedagogy, and the academic climate as targets for intervention in social work education. This book was originally published as a series of special issues of the Journal of Ethnic and Cultural Diversity in Social Work. lity. The book also examines curriculum, pedagogy, and the academic climate as targets for intervention in social work education. This book was originally published as a series of special issues of the Journal of Ethnic and Cultural Diversity in Social Work.",1138624713,
30,White Spaces Missing Faces,Why Women of Color Don't Trust White Women,Catrice M. Jackson,"There has NEVER been a time in history when white women have collectively stood up for or put their lives at risk for women of color; ever! Women of color have centuries of legitimate reasons to NOT trust white women; in personal relationships, on the job and online. Racism and White Feminism are paramount to why women of color do NOT attend, participate, thrive or stay in white spaces. White spaces are toxic breeding grounds for racial interpersonal violence under the guise of ""feminism"" and women's empowerment. White Spaces Missing Faces boldly objects the illusion of inclusion and exposes the unrepentant truth about the Weapons of Whiteness used by white women to silence, marginalize, violate and oppress women of color. White Spaces Missing Faces unearths the covert roots of racial antipathy between white women and women of color and provides radical solutions for relationship reconciliation, reparation and restoration. White Spaces Missing Faces teaches you how to lay down your Weapons of Whiteness to stop assaulting women of color while creating, cultivating and sustaining an environment where they stay, thrive and flourish by denouncing your own racism and becoming an anti-racist Accomplice.",0983839832,White Spaces Missing Faces Why Women of Color Don't Trust White Women
32,Is 'Black' Really Beautiful?,Dehumanizing and Intentional Ethics of Descriptions and Vilifying Philosophies of Naming,Kuir ë Garang,"Is 'Black' Really Beautiful? presents a racially decentered discourse on race, racism and color. It maintains that who people are 'ontically' speaking, and the color that has been used to describe them aren't one and the same. In other words, Blackness in itself isn't Africanness; and Whiteness isn't Europeanness. So how a group of people is racially described should be taken with moral priority because descriptions affect the social consciousness, racial reflexivity, and moral standing of such a group of people in inter-racial and inter-cultural interactions and discourses. So any given racial description should be judged against a moral gauge or meter to ascertain its societal value. So far, how the African Personhood is described fails all the moral requirements of a decent and civil regard. This new ontological discourse is meant to socio-intellectually humble European socio-intellectual hegemony, and make the African Personhood worth positive pedagogy and hermeneutic.",9780991678945,Is 'Black' Really Beautiful? Dehumanizing and Intentional Ethics of Descriptions and Vilifying Philosophies of Naming
34,Racial Microaggressions in Academia: Black Students’ Perspective,A Dissertation Presented to the Faculty of Springfield College in Partial Fulfillment of the Requirements for the Degree Doctor of Philosophy,Patricia Elisnord,"ABSTRACT: The current study was designed to explore the experiences of Black and or African American identified student’s experiences with instances of racial microaggressions in academic settings. Black students from a predominantly White institution in the Northeast were interviewed using a semi-structured interview format to explore the following research questions: (a) what is the experience of Black students with racial microaggressions in academic settings? (b) How do Black students navigate instances of racial microaggressions in academic settings? (c) How does the experience of racial microaggressions impact educational motivation and performance? Results included several themes including being perceived as an aggressor or criminal, under or over representation, normalizing, presumptions/stereotyping, despondent, fear of retaliation disconfirmation, and self-doubt. Black students associated their racial microaggressive experience with being Black and having a different racial background then their aggressors. Each theme was broken down and discussed further in this paper. The findings provide insight towards the need to bring awareness to academic institutions and policy makers, encourage the implementation of additional support in academic settings for Black students, as well as information to better inform mental health counselors and psychologists working with this population.",OCLC:1192543495,Racial Microaggressions in Academia: Black Students’ Perspective A Dissertation Presented to the Faculty of Springfield College in Partial Fulfillment of the Requirements for the Degree Doctor of Philosophy
35,Feeling Safe in School,Bullying and Violence Prevention Around the World,Jonathan Cohen,"Jonathan Cohen and Dorothy L. Espelage, two leading authorities in the fields of school climate and prevention science, have gathered experts from around the globe to highlight policy and practice recommendations for supporting children and adolescents to feel and be safe in school. Featuring analysis and commentaries from experts in public health, psychology, and school improvement, Feeling Safe in School addresses social, emotional, and intellectual aspects of safety as well as physical safety. The experts offer candid and unique insights into the way eleven different countries view and define what it means to feel safe in school, the types of goals and strategies that are being used to promote safety, and whether and how measures are being used to gauge progress. Interest in supporting the physical as well as the social and emotional safety of students as a prerequisite for learning and healthy development is now a global phenomenon. Feeling Safe in School adds to the understanding of the possibilities for increasing student safety by examining the experiences of other countries that are tackling this issue.",1682534502,Feeling Safe in School Bullying and Violence Prevention Around the World
37,Racial Microaggressions in Education,Using Critical Race Theory to Respond to Everyday Racism,Daniel Solórzano,"""This unique contribution to the study of racial microaggressions uses Critical Race Theory (CRT) to develop concepts, frameworks, and models. With a focus on the lived experiences of People of Color, this book can be used to disrupt the everyday racism that continues to target so many Communities of Color""--",0807764388,Racial Microaggressions in Education Using Critical Race Theory to Respond to Everyday Racism
39,The Ethics of Microaggression,,Regina Rini,"""Slips of the tongue, unwitting favoritism and stereotyped assumptions are just some examples of microaggression. Nearly all of us commit microaggressions at some point, even if we don't intend to. Yet over time a pattern of microaggression can cause considerable harm by reminding members of marginalized groups of their precarious position. The Ethics of Microaggression is a much needed and clearly written exploration of this pervasive yet complex problem. What is microaggression and how do we know when it is occurring? Can we be held responsible for microaggressions and if so, how? How has social media affected the problem? What role can philosophy play in understanding microaggression? Regina Rini explores these highly topical and controversial questions in an engaging and fair-minded way, arguing that an event is a microaggression precisely because it causes a marginalized person to experience an ambiguous encounter with oppression. She illustrates her argument with compelling examples from media, politics and psychology and explains the significance of essential concepts, such as media representation, reparative renaming, and safe spaces. The Ethics of Microaggression explains what microaggression is and offers strategies for combating it. Assuming no prior knowledge of the topic or philosophy, it demystifies a controversial and extremely important topic in clear language. It is ideal for anyone coming to the topic for the first time and for students in philosophy, gender studies, race theory, disability theory and social and political philosophy""--",1315195054,
41,Subtle Acts of Exclusion,"How to Understand, Identify, and Stop Microaggressions",Tiffany Jana,"The first practical, accessible, nonjudgmental handbook helps individuals and organizations recognize and prevent microaggressions so that all employees can feel the sense of belonging in the workplace that they deserve. Our workplaces are growing more diverse, but are we supporting inclusive cultures? While overt racism, sexism, ableism, and other forms of discrimination are relatively easy to spot, we cannot neglect the subtler everyday actions that normalize exclusion in our workplaces. Many have heard the term microaggression, but not everyone fully understands what microaggressions are or how to recognize them and stop them from happening. In this book, Tiffany Jana and Michael Baran offer a clearer, more accessible term, subtle acts of exclusion, or SAE, to emphasize the purpose and effect of microaggressions. Whether in the form of exaggerated stereotypes, backhanded compliments, unfounded assumptions, or objectification, SAE are insidious and damaging to our coworkers and colleagues. Jana and Baran give simple and clear tools to identify and address such acts, even offering scripts for helpful ways to approach discussions of difficult, uncomfortable, and deeply personal topics in a professional setting.",1523087056,"Subtle Acts of Exclusion How to Understand, Identify, and Stop Microaggressions"
43,Microaggressions in Ministry,Confronting the Hidden Violence of Everyday Church,Cody J. Sanders,"Carlos--a third-generation U.S. citizen from New Jersey whose family emigrated from Colombia many years before Carlos was born--is often complimented on how articulate he is and asked how long he has been in the United States. Deborah, a Certified Public Accountant (CPA) who is up for election as church treasurer, has her qualifications questioned, debated, and scrutinized by the congregation far more than any of her male predecessors who were elected with a simple vote. Lisa, a male-to-female transgender person, attends a Sunday school where her classmates continue to refer to her with masculine pronouns (he, him, his). The three examples above portray microaggressions: subtle slights, insults, and indignities expressed to persons of varied minority statuses. Although microaggressions are usually unintentional, they occur on a regular basis in education, the workplace, and daily life. This is the first book that addresses the concept of microaggressions in ministry and church life. Drawing from their background as ordained clergy, Sanders and Yarber introduce ministry leaders to the concept of microaggressions and look specifically at microaggressions directed at race, gender, and sexuality in the church. Sanders and Yarber help readers become more aware of these subtle and often unconscious communications, offering realistic examples and guidance for grappling with this issue in preaching, religious education, worship, spirituality, and pastoral care and counseling. Microaggressions in Ministry equips congregations with methods for assessment and tools for action that will ultimately help create stronger, more welcoming faith communities.",9780664260576,Microaggressions in Ministry Confronting the Hidden Violence of Everyday Church
45,Global Perspectives on Microaggressions in Schools,Understanding and Combating Covert Violence,Taylor & Francis Group,"Recognizing microaggression as an often unseen, yet pervasive issue in schools globally, this book offers critical examination of instances of aggression, hostility, and incivility in school contexts around the world. Drawing on authors' experiences and empirical analyses, the volume puts forward practical recommendations to remedy such violence and tackle its root causes. Global Perspectives on Microaggressions in Schools brings together contributions from South Africa, Australia, Canada, and the US to explore the various forms that microaggression can take. Authors implement qualitative methodologies, personal reflection, and empirical literature to document microaggressions perpetrated by, and directed against all members of the school community, including students, teachers, school leaders and administrators. In doing so, they highlight ongoing issues including xenophobia, sexual violence, and prejudice against gifted students, LGBTQ, refugee, and indigenous communities. Looking forward, the volume proposes practical ways to undermine such prejudices and prevent the occurrence of microaggressions through effective training, policy, leadership, and student agency. Given its rigorous approach and attention to widespread issues of school violence, this book will be a timely resource for scholars, researchers, and academics with an interest in the sociology of education, educational leadership, school culture, student well-being, and inclusive education. In addition, school leaders, administrators, pre- and in-service educators may find benefit from reading this volume.",036754556X,Global Perspectives on Microaggressions in Schools Understanding and Combating Covert Violence
47,Minority Empowerment,How to Achieve Professional Success in America,Randall Brown,"This book was published by Floricanto Press. www.FloricantoPress.com www.LatinoBooks.Net Minority Empowerment: How to Achieve Professional Success in America is a frank, refreshing, and honest guide to help give persons of color valuable resources and skills to achieve success in America. As two people of color who combined have attended four Ivy League institutions, Dr. Bianca Calderon-Brown and Randall Brown are uniquely qualified to provide a roadmap for others.The Browns have written a brief but compelling manual, which they used to get to Ivy league colleges and succeed professionally. This book is a valuable guide for minorities who are serious about their professional future. Underrepresented ethnic minority students represent a challenge to the American educational establishment. An emerging corpus of literature brings understanding into the elements for their academic success. However, very few books have been written by minorities in the trenches, who shared the same backgrounds, but methodically succeeded academically and professionally. LatinoBook.net Dr. Bianca Calderon-Brown and Randall Brown are a married couple who live in New Jersey. Bianca received her undergraduate degree from Harvard University and her medical degree from Columbia University College of Physicians and Surgeons. She is currently a pediatrician in the Bronx and on the faculty of the Albert Einstein College of Medicine. Randall received his undergraduate degree from Cornell University and his MBA from the Yale School of Management. He is currently a Senior Finance Manager at Johnson & Johnson.",1795161736,Minority Empowerment How to Achieve Professional Success in America
49,Microaggressions Across the Great Divide,"High-Stakes Written Assessments, the Threat of Stereotype and Hidden Curriculum",Mark A. Pierce,"""Given an existential grounding in marketing and media through forays into the field of entertainment, while yet teaching, Mark Pierce has written a non-fiction book useful in multicultural education forums and classrooms. Microagressions Across the Great Divide delves into the inequities of black students finding a stronghold within school curriculum and popular culture while gaining a viable education, and also offers solutions in how to approach changing that forecast""-- http://www.rosedogbookstore.com/miacgrdihiwr.html (as viewed on 4/14/2011).",1434983048,"Microaggressions Across the Great Divide High-Stakes Written Assessments, the Threat of Stereotype and Hidden Curriculum"
51,Managing Microaggressions,Addressing Everyday Racism in Therapeutic Spaces,Monnica T. Williams,"""This series, which represents a collaborative effort between the Association for Behavioral and Cognitive Therapies (ABCT) and the Oxford University Press, is intended to serve as an easy-to-use, highly practical collection of resources for clinicians and trainees. The ABCT Clinical Practice Series is designed to help clinicians effectively master and implement evidence-based treatment approaches. In practical terms, the series represents the 'brass tacks' of implementation, including basic how-to guidance and advice on trouble-shooting common issues in clinical practice and application. As such, the series is best viewed as a complement to other series on evidence-based protocols such as the Treatments That WorkTM series and the Programs That WorkTM series. These represent seminal bridges between research and practice, and have been instrumental in the dissemination of empirically supported intervention protocols and programs. The ABCT Clinical Practice Series, rather than focusing on specific diagnoses and their treatment, targets the practical application of therapeutic and assessment approaches. In other words, the emphasis is on the how-to aspects of mental health delivery""--",9780190875237,Managing Microaggressions Addressing Everyday Racism in Therapeutic Spaces
53,EmbarRACEments,Daily Embarrassments in Black and White . . . and Color,Kossi Komla-Ebri,"A self-deprecating, sobering book about a world that continues to move forward without anyone really advancing. --Gian Paolo Serino As Europe, along with the rest of the world, struggles to learn itself anew and adapt in the presence of rapid demographic change - and often acting in a way that fails to recognize the positive potential in this change - Kossi Komla-Ebri provides a human and personal account of this global process which sometimes seems too big, global, and too daunting. Komla-Ebri's vignettes show us through pain and humor what this giant global force looks like when it comes out in the everyday, rears its heads in the interactions between friends or strangers, the intimate or the unfamiliar. By shedding light on the relationship between the structural and the interpersonal, he takes deeply personal issues and makes them universal. Komla-Ebri shows us that we are all touched by what may feel abstract or too broad for the individual to reproduce and affect. All people who have experienced embar-race-ments and othering - which is increasingly all people - should find this book enlightening. And by reflecting our own behavior back to us or teaching us how to cope with and process these daily slights, this work helps us put one foot in front of the other toward a world of greater belonging. --Dr. john a. powell, Hass Institute for a Fair and Inclusive Society",1599541246,EmbarRACEments Daily Embarrassments in Black and White . . . and Color
55,Political Speech as a Weapon,Microaggression in a Changing Racial and Ethnic Environment,Sylvia Gonzalez-Gorman,"Provides a penetrating examination of how political rhetoric from public officials creates tensions via microaggression cues due to changing demographics, campaign rhetoric, and the use of social media. * Explains how hostile rhetoric by public officials can lead to the marginalization of groups and a polarizing environment * Suggests that political discourse is used to accentuate cultural differences due to changing demographics in the United States * Illustrates that microaggression cues are a pervasive and damaging component of the U.S. political culture * Appropriate reading for anyone interested in or students of modern social movements, U.S. media and politics, race and ethnicity, political behavior, social psychology, and Latino American or African American studies",144085582X,Political Speech as a Weapon Microaggression in a Changing Racial and Ethnic Environment
57,59 Things Not To Say To Your Black Friend,: An Anti-Racists Guide To Microaggressions And How They Really Impact Black People,The Shift Print,"Microaggressions seem like such small things, but they often have a huge and negative impact emotionally and psychologically, even if that is not the intention of the speaker. The victim is left feeling confused and hurt, wondering if the speaker even realized what they had just said, and the true impact of their statement or question on a black individual. Some of these careless statements still linger and sting even after years. Our solution was to create this little handbook, for all anti-racists. The authors of this book are two, anti-racist, black Canadians of Jamacian descent, who believe in the creation of a better world for all of us, beginning by learning and teaching acceptance and empathy for all peoples. ★ Who is this book for? This book is for EVERYONE! We are all living in this oppressive system, and we all have internalized biases, prejudices, and even racism. It's not our fault, but it is our responsibility to unlearn these things for the benefit of everyone, ourselves included. This book is definitely something we wish we had growing up. So many young people experience people saying or doing things that seemed harmless on the surface, but that stuck with them for days, months, even years later! This book explains just what you are going through and how to deal. ★ Get this book for your white friends, but don't stop there. Everyone can relate to or gain insight from this book. Grab this book for your friends of all ethnicities, your friends in the LGBTQI+ community, your parents, your co-workers, and yes, your black friends too! This book was made to help us all become anti-racist. ★ Learn the common and uncommon phrases and behaviors that negatively impacts black people's experience living in this world. (Phrases such as: ""I don't see color"", ""You're so angry"", ""Excuse me, do you live around here?"") This book will help you understand how these hurtful things are interpreted by black people, and encourage a disruption of this behavior before you or anyone else enacts them in the future. ★ Our goal is to empower all readers to actively disrupt racism and discrimination against black people, and build unity, respect, appreciation and understanding. Ultimately, we aim to create an amazing community of people, who want to create a more safe, fair and beautiful world for everyone. ★ Warning: This book is not sugar-coated. Why? Because Black people don't get a sugar coated version of racism. It holds readers / people accountable for the way their seemingly innocent, microaggressive words and actions affect their black friends, and loved ones. This book is to be used as a guide to help yourself and others to understand that while intent behind microaggressive phrasing might be innocent, the impact may not be so innocuous. As an anti-racist ally, use this book to help you recognize microaggressive behaviour and speech towards black people, and call it out when you do. If you're ready to become an actively anti-racist, and empathetic person add this book to cart today!",9798654548436,59 Things Not To Say To Your Black Friend : An Anti-Racists Guide To Microaggressions And How They Really Impact Black People
58,Finding Her Voice,How Black Girls in White Spaces Can Speak Up and Live Their Truth,Faye Z. Belgrave,"Find the strength and confidence needed to speak up, be heard, and assert yourself in a world filled with microaggressions and discrimination. Have you experienced stress, frustration, anger, or sadness as a Black girl in a predominantly White space? Have there been times when you were the only Black voice to speak up in class or in a social situation? Maybe you have felt lonely as the only Black person in a group. Unfortunately, you are far from alone. However, there are steps you can take to build self-empowerment, develop skills to address microaggressions, and explore your feelings and experiences in a meaningful way. This workbook can help you get started. Written by three powerful women who are lifelong advocates for racial justice, Finding Her Voice provides activities and exercises to help you challenge dominant culture, cultivate self-compassion and self-confidence, and build resilience in a world still filled with microaggressions and discrimination. You'll learn how to navigate awkward or difficult situations at school, with friends, and on social media. You'll also find real stories from other teens who share your experiences. By reading about situations faced by other Black girls in White spaces and responding to the critical questions and exercises in the workbook, you'll learn to recognize and address some of the challenges unique to the Black girl experience. Finally, you'll learn to strengthen your wonderful sense of self and own your power, and discover ways to share your amazing gifts with the world.",1684037409,Finding Her Voice How Black Girls in White Spaces Can Speak Up and Live Their Truth
60,Strength in Comunidad,Experiences of Latinx Transfer Students with Racial Microaggressions at R1 Universities,Cyndy Elizabeth Garcia,"Abstract: As California’s Latinx population increases, so does the enrollment of Latinx students in institutions of higher learning. Latinx students disproportionally begin their higher education journey at community colleges. Of the Latinx students who do transfer, a limited number of students transfer to Research 1: Doctoral Universities. Once at the receiving 4-year institution, transfer students are oftentimes perceived as less academically prepared. By experiencing racial microaggressions, Latinx transfer students may discern messages as not feeling capable enough to succeed. Guided by Critical Race Theory and Solórzano’s model for understanding racial microaggressions, this qualitative study explored how seven Latinx undergraduate transfer students have been impacted by systemic racism, specifically racial microaggressions, at a public R1 university. The purpose of the study was to document and gain a deeper understanding of the racialized experiences of Latinx transfer students at R1 institutions. Four themes emerged from the findings: experiences with campus climate, transfer experiences, academic experiences, and empowerment through community. Findings provide insight into the type of racial microaggressions Latinx students experience, how they respond to these incidents, and the effects of racial microaggressions as participants navigate a 4-year institution as transfer students. Recommendations for policy and practice include increased diversification of staff and faculty, institutional transparency, dissemination of information, additional support for current resources, increased conversations about race and intersectionality, and development of spaces for Latinx transfer students. Lastly, recommendations for future research are also included.",9798698591221,Strength in Comunidad Experiences of Latinx Transfer Students with Racial Microaggressions at R1 Universities
62,You PC Bro?,How Experiences of Racial Microaggressions Affect Undergraduate African American Student Retention,Kyle J. Brezinski,"This study assesses the impact of racial microaggressions on African American college students. I examine the relationship between racial microaggressions and college students' retention. This study aimed to answer the research questions: Is there a relationship between African American college students' retention and their experience of racial microaggressions? Previous research indicates that racial microaggressions have a negative impact on undergraduate African American college students (Sue, 2008). The purpose of this study was to further understand the degree, if any, racial microaggressions have on African American college students' retention. This study collected survey data from 53 participants who self-identified as African American. Data collection was conducted through demographic questionnaire, retention questionnaire, and use of the Racial Microaggressions Scale (RMAS) (Torres-Harding et al., 2012). There was a statistically significant relationship between the subscale of Foreigner/Not Belonging and African American's thoughts on dropping out during the ongoing semester [r(51)=.338, p",OCLC:1010501384,You PC Bro? How Experiences of Racial Microaggressions Affect Undergraduate African American Student Retention
63,The Role of Perceived Social Support in Understanding the Effects of Racial Microaggressions on Barriers and Stress for African American College Students,,Brittany Sievers,"The purpose of this study was to test the effects of racial microaggressions on minority status stress and perceived academic and career barriers, as moderated by social support among African American college students. It was hypothesized that social support would significantly moderate the effect of microaggressions on perceived academic and career barriers and minority status stress, such that higher levels of social support would be related to lower levels of perceived barriers and minority student stress. Participants were recruited from a mid-size Midwestern university from Introductory Psychology 102 courses, university-based student organizations, and the Africana Studies Department. Experiences with microaggressions were assessed using Nadal's Racial and Ethnic Microaggression Scale (REMS; Nadal, 2011), perception of academic and career barriers were measured using the Perception of Barriers Scale (POBS; Luzzo & McWhirter, 2001), social support was measured using the Interpersonal Support Evaluation List (ISEL; Cohen & Hoberman, 1983), and minority status stress was measured using the Minority Student Stress Scale (MSS; Smedley, Myers, & Harrell, 1993). A demographics questionnaire was administered as well. A moderated multiple-regression analysis was conducted to test the study hypotheses. Our study hypotheses that perceived social support would moderate the relationship between microaggressions and minority status stress and perceptions of barriers was not supported. However, main effects were found for microaggressions and social support on minority status stress, as well as main effects for social support on perceptions of barriers. Future research and implications are discussed.",OCLC:1037352895,
64,Coping with Racial Microaggressions,An Exploration of Latina/o College Students Attending a Hispanic Serving Institution,Rebecca Gonzalez,"The negative ramifications of racial microaggressions are a burgeoning area of empirical inquiry; however, there is a paucity of research that examines how Latinas/os experience and cope with racial microaggresions. Thus, this qualitative study explored the emotional consequences of exposure to racial microaggressions and coping skills utilized to combat these discriminatory experiences. Seventeen participants who were attending a Hispanic Serving Institution in the Southwest were interviewed using semi-structured interviews. A constructivism grounded theory approach informed the conceptualization, execution and analysis of this study. Emerging themes based on participant responses included: Societal and Cultural Factors that Influence Discrimination Against Latina/os, Perception of Campus Racial Climate, Experience of Racial Microaggressions, Appraisal of Microaggressions, Emotional Reactions to Racial Microaggressions, Coping with Racial Microaggressions, and Recommendations for Creating a Safer Racial Climate for Latina/os. A theory was proposed that explained how Latina/o students cope with racial discrimination/racial microaggressions at a Hispanic Serving Institution. The results are discussed using a Critical Race Theory lens. Implications and future directions are presented.",OCLC:957239243,Coping with Racial Microaggressions An Exploration of Latina/o College Students Attending a Hispanic Serving Institution
