,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
22,Gendered Bodies,Feminist Perspectives,Judith Lorber,"For centuries the biological sciences have dissected, measured, and probed the human body as a product of nature. But from a feminist perspective, the human body is a social production. Human bodies are shaped and controlled by the norms and expectations of gendered social orders, intersected by racial, class, religious, and age norms and expectations. The result is a gendered body produced for a gendered social world. In this concise text with readings, designed for undergraduate students, Lorber and Moore present feminist contributions to social and cultural studies of the human body, showing the construction of gendered bodies in different contexts. The authors argue that the ideology of the perfect body is a powerful means of social control for girls and boys as well as women and men. The authors show how children's bodies are gendered through games and sports - and shaped and modified throughout adulthood to meet social expectations. Each chapter includes a list of key concepts, three readings, recommended books and articles, and Internet sources. For the instructor, the book includes class exercises and a list of films with somatic themes.",STANFORD:36105122850394,Gendered Bodies Feminist Perspectives
23,Founding Mothers & Fathers,Gendered Power and the Forming of American Society,Mary Beth Norton,"Argues that because colonial women were power figures in the home, they had a great deal of power outside the home",9780679749776,Founding Mothers & Fathers Gendered Power and the Forming of American Society
25,Gendered Citizenships,"Transnational Perspectives on Knowledge Production, Political Activism, and Culture",K. Caldwell,"Drawing on ethnographic research with underrepresented communities in the Caribbean, Europe, South America, and the United States, this wide-ranging anthology examines the gendered dimensions of citizenship experiences and uses them as a point of departure for rethinking contemporary practices of social inclusion and national belonging.",9780230101821,"Gendered Citizenships Transnational Perspectives on Knowledge Production, Political Activism, and Culture"
27,Women and Gendered Violence in Canada,An Intersectional Approach,Chris Bruckert,"By drawing on a range of theoretical traditions emerging from feminism, criminology, and sociology, Women and Gendered Violence in Canada significantly expands the conversation on violence against women.",9781442636149,Women and Gendered Violence in Canada An Intersectional Approach
29,Gendered Spaces,,Daphne Spain,The history of spatial segregation at home and in the workplace and how it reinforces women's inequality.,0807843571,
31,A Gendered Choice,Designing and Implementing Single-Sex Programs and Schools,David W. Chadwell,"Across the U.S. about 500 public schools currently offer single-gender classes or programmes. Hundreds more schools are contemplating separate classes for boys and girls in the wake of the 2006 legislation that allows such programmes to satisfy Title IX requirements. Spearheading the national trend in this direction with over 300 single-gender programmes is South Carolina, where David W. Chadwell was appointed the first state coordinator for single-gender initiatives. In this book, Chadwell lays out for administrators the step-by-step process of implementing single-sex programmes and schools in three stages: designing, initiating, and sustaining. A Gendered Choice is a practical, how-to book based upon unique, first-hand experience that interested administrators will want to examine as they contemplate or begin to introduce single-gender programmes in their schools.",9781412972598,A Gendered Choice Designing and Implementing Single-Sex Programs and Schools
33,Gendered Practices in Working Life,,Tuula Heiskanen,"Gendered distinctions and differences in working life are produced by often hidden practices. What are they like? How do they work? The book creates, through its multidisciplinary approach and rich empirical data, a wide perspective on gendered practices in working life, from the level of labour market structures to the personal experiences of women and men. Some taken-for-granted assumptions of gender in social sciences and feminist research are challenged by a view through the 'Nordic window'.",9781349252855,
35,Gendered Compromises,"Political Cultures and the State in Chile, 1920-1950",Karin Alejandra Rosemblatt,"With this book, Karin Rosemblatt presents a gendered history of the politics and political compromise that emerged in Chile during the 1930s and 1940s, when reformist popular-front coalitions held power. While other scholars have focused on the economic realignments and novel political pacts that characterized Chilean politics during this era, Rosemblatt explores how gender helped shape Chile's evolving national identity. Rosemblatt examines how and why the aims of feminists, socialists, labor activists, social workers, physicians, and political leaders converged around a shared gender ideology. Tracing the complex negotiations surrounding the implementation of new labor, health, and welfare policies, she shows that professionals in health and welfare agencies sought to regulate gender and sexuality within the working class and to consolidate the male-led nuclear family as the basis of societal stability. Leftists collaborated in these efforts because they felt that strong family bonds would generate a sense of class belonging and help unify the Left, while feminists perceived male familial responsibility as beneficial for women. Diverse actors within civil society thus reworked the norms of masculinity and femininity developed by state agencies and political leaders_even as others challenged those ideals.",0807848816,"Gendered Compromises Political Cultures and the State in Chile, 1920-1950"
37,The Gendered Terrain of Disaster,Through Women's Eyes,Elaine Enarson,"Why are women so hard hit by disasters? This international collection offers a range of answers, and moves readers beyond the stereotypes of women as hapless victims. Drawing together the voices of women survivors and responders, leading scholars in disaster studies and experienced practitioners in the field offer new directions for disaster theory and practice.",IND:30000063907897,The Gendered Terrain of Disaster Through Women's Eyes
38,The Gendered Brain,The New Neuroscience that Shatters the Myth of the Female Brain,Gina Rippon,"Barbie or Lego? Reading maps or reading emotions? Do you have a female brain or a male brain? Or is that the wrong question? On a daily basis we face deeply ingrained beliefs that our sex determines our skills and preferences, from toys and colours to career choice and salaries. But what does this mean for our thoughts, decisions and behaviour? Using the latest cutting-edge neuroscience, Gina Rippon unpacks the stereotypes that bombard us from our earliest moments and shows how these messages mould our ideas of ourselves and even shape our brains. Rigorous, timely and liberating, The Gendered Brain has huge repercussions for women and men, for parents and children, and for how we identify ourselves. 'Highly accessible... Revolutionary to a glorious degree' Observer",1784706817,The Gendered Brain The New Neuroscience that Shatters the Myth of the Female Brain
40,A Taste for Gardening,Classed and Gendered Practices,Lisa Taylor,"Is the garden a consumption site where identities are constructed? Do gardeners make aesthetic choices according to how they are positioned by class and gender? This book presents the first scholarly analysis of the relationship between media interest in gardening and cultural identities. With an examination of aesthetic dispositions as a symbolic mode of communication closely aligned to peoples' identities and drawing on ethnographic data gathered from encounters with gardeners, this book maps a typology of gardening taste, revealing that gardening - how plants are chosen, planted and cared for - is a classed and gendered practice manifested in specific types of visual aesthetics. This timely and original book develops a new area within cultural studies while contributing to debates about lifestyle and lifestyle media, consumption, class and methodology. A must read for anybody concerned with or intrigued by the cultural construction of identification practices.",0367605643,A Taste for Gardening Classed and Gendered Practices
42,Constructing Sexualities and Gendered Bodies in School Spaces,Nordic Insights on Queer and Transgender Students,Jón Ingvar Kjaran,"This book sheds light on how sexuality and gender intersect in producing heteronormativity within the school system in Iceland. In spite of recent support for progressive policies regarding sexual and gender equality in the country, there remains a discrepancy between policy and practice with respect to LGBTQ rights and attitudes within the school system. This book draws on ethnographic data and interviews with LGBTQ students in high schools across the country and reveals that, although Nordic countries are sometimes portrayed as queer utopias, the school system in Iceland has a long road ahead in making schools more inclusive for all students.",1137533323,Constructing Sexualities and Gendered Bodies in School Spaces Nordic Insights on Queer and Transgender Students
44,"Femininity, Feminism and Gendered Discourse",A Selected and Edited Collection of Papers from the Fifth International Language and Gender Association Conference (IGALA5),Janet Holmes,"The chapters in this book illustrate a range of cutting edge research in language and gender studies, with contributions from a number of internationally recognised experts. The three themes, femininity, feminism and gendered discourse are central to research in language and gender, and the book thus makes a valuable contribution to a number of current debates. Femininity comprises a central aspect of gender performance and the process of “gendering” individuals is on-going and unavoidable. For many people, the word “femininity” has associations with “frilly pink party dresses,” with demureness, deference, and lack of power and influence. The first section of this book demonstrates some alternative conceptions of femininity, and a range of ways in which femininity is performed in different contexts and cultures. The analyses illustrate that we are all continually performing aspects of femininity (and masculinity) in flexible, dynamic, ambiguous, predictable and unpredictable ways. Language and gender research has a long tradition of engagement with the political, and specifically with feminism and feminist goals. The chapters in the second section of this book demonstrate the value of identifying gendered patterns in order to challenge their potentially repressive effects in social interaction in a range of spheres. The researchers analyse contemporary international evidence of sexism in language use, including material from Japanese spam emails expressing sexual desire, and from media reporting on male and female candidates in the 2007 French elections. The final section of this book focuses on the different ways in which we negotiate our gender through discourse. Gender is just one of many facets of our intrinsically hybridized social identities. Nevertheless, it is a very significant facet, a salient dimension in everyday life, with a pervasive social influence on everything we do and say. Interaction is typically viewed through “gendered” spectacles much of the time. The chapters in the third section focus in detail on diverse ways in which gender is constructed through discourse, examining the interaction between individual agency and the larger constraining social structures, including socio-cultural norms, within which that agency is enacted. Finally, the different contributions in this book represent research from a multiplicity of geographic and cultural backgrounds, supporting efforts to internationalise language and gender research, and to raise awareness of empirical studies undertaken in a wide range of linguistic and cultural contexts.",9781443824378,"Femininity, Feminism and Gendered Discourse A Selected and Edited Collection of Papers from the Fifth International Language and Gender Association Conference (IGALA5)"
46,Gendered States,Feminist (re)visions of International Relations Theory,V. Spike Peterson,"While IR theorists are increasingly critical of neorealist assumptions about the state and the international system, few have explored the gendered construction of the state and its implications for IR. Recognizing this, the authors of this collection explore how core concepts of political and IR theory - the state, sovereignty, power - are reframed through feminist lenses.",1555873286,Gendered States Feminist (re)visions of International Relations Theory
48,Women and Planning,Creating Gendered Realities,Clara H. Greed,"Planning is currently a male profession, but an analysis of a century of town planning reveals this to be a new development; women have been central to the planning movement since it began. Women and Planning is the first comprehensive history and analysis of women and the planning movement, covering the philosophical, practical and policy dimensions of `planning for women'. Beyond the marginalization of women, modern, scientific planning hides a story of past links with eugenics, colonialism, artistic, utopian and religious movements and the occult. Central to the discussion is the questioning of how male planners have rewritten planning in their own image, projecting patriarchal assumptions in their creation of `urban realities'. Issues of class, sexuality, ethnicity and disability are raised by the fundamental question of `Who is being planned for?'",9781134895960,Women and Planning Creating Gendered Realities
50,Engaging the Bible in a Gendered World,An Introduction to Feminist Biblical Interpretation in Honor of Katharine Doob Sakenfeld,Linda Day,"In highly accessible essays, the book covers the history, achievements, and cutting-edge questions in the area of gender and biblical scholarship, including violence and the Bible, female biblical God imagery, and sexuality.""--Jacket.",9780664229108,Engaging the Bible in a Gendered World An Introduction to Feminist Biblical Interpretation in Honor of Katharine Doob Sakenfeld
52,Counterbalance,Gendered Perspectives on Writing and Language,Carolyn Logan,"Like other composition readers, Counterbalance has as its primary purpose to improve thinking, reading and writing skills, recognizing throughout the degree to which these are inextricably interlinked. Where Counterbalance differs from almost all other composition readers is in the prominence it gives to writing by women. More and more of the writers in modern Western society are women and women now comprise a substantial majority of the students in many undergraduate courses. Yet most texts are eighty per cent or more comprised of writing by men. As its title suggests, this book acts as a counterbalance; over three-quarters of the essays are by women. The feminist stance of Counterbalance is unequivocal; an important aim of this text is to encourage students to question assumptions about gender. But for those to whom the word ‘feminist’ engenders immediate unease, it should be emphasised that the stance of the text is provocative and open-minded rather than strident or exclusionary; Audre Lorde and bell hooks are here, but so is George Orwell. The text is also designed as a counterbalance in other respects; many of the essays here explore issues of race, culture and class. Notions of correctness and issues of free speech and responsibility are also treated. As a whole the book is thus an invigorating and enormously wide-ranging spur to thought and discussion. Yet it avoids the scatter-gun approach so common to first-year collections; Counterbalance retains throughout a focus on language—perhaps the one area that all students, no matter what their backgrounds and interests, can connect to out of their everyday experience. The book’s thesis is that we can all think more clearly and use language more effectively if we know not only something about the traditional areas of composition and grammar but also something about how language influences us. The essays selected demonstrate a variety of expository styles, organizations and methods of development. They are organized into seven chapters so as to present a coherent progression, moving from simpler essays on more familiar topics to more difficult concepts and writing assignments.",1551111276,Counterbalance Gendered Perspectives on Writing and Language
54,Gendered Lives,Gender Inequalities in Production and Reproduction,Shirley Dex,"'This state-of-the art collection brings together the latest research of eminent experts in the field. It combines a wide sweep with focused analysis of gender dynamics at home and at work, and the interaction between them. A longitudinal and life course perspective underpins the authors' assessment of the current state of gender inequality, and helps explain why some domains are more resistant to change than others. This timely and innovative volume will be an excellent resource for academics and policy-makers alike.' – Miriam Glucksmann, University of Essex, UK This meticulous book examines how gender inequalities in contemporary societies are changing and how further changes towards greater gender equality might be achieved. The focus of the book is on inequalities in production and reproductive activities, as played out over time and in specific contexts. It examines the different forms that gendered lives take in the household and the workplace, and explores how gender equalities may be promoted in a changing world. Gendered Lives offers many novel and sometimes unexpected findings that contribute to new understandings of not only the causes of gender inequalities, but also the ongoing implications for economic well-being and societal integration. This topical and interdisciplinary study by leading researchers in the field will appeal to course leaders, researchers and postgraduate students in sociology, economics, public policy, demography and human geography. Social scientists interested in gender equality, labour market behaviour and public policy will also find much to interest them in this fascinating book.",9781849806275,Gendered Lives Gender Inequalities in Production and Reproduction
56,Gendered Discourses,,J. Sunderland,"This advanced textbook critically reviews a range of theoretical and empirical work on gendered discourses, and explores how gendered discourses can be identified, described and named. It also examines the actual workings of discourses in terms of construction and their potential to 'damage'. For upper-level undergraduates and graduate students in discourse analysis, gender studies, social psychology and media studies.",9780230505582,
58,Development in an Insecure and Gendered World,The Relevance of the Millennium Goals,Assoc Prof Jacqueline Leckie,"The Millennium Declaration was adopted by the United Nations General Assembly in 2000 and explicit targets were set to eradicate key problems in human development by 2015. This collection focuses specifically on the goals relating to gender issues that are problematic for women. The most relevant and contentious is that of promoting gender equality and empowering women. The book provides an overview of this and investigates literature that considers how gender is central to achieving the other goals. The contributors distinctively consider gender in the context of human security (or insecurity); the reduction and elimination of conflict would seem to be central to achieving targets. One of the major themes of this collection is whether gender insecurity has been exacerbated in an increasingly insecure world. The book considers not only military and civilian conflict in the contemporary era but also security in the broader sense of human development, such as environmental, reproductive and economic security.",9781409499459,Development in an Insecure and Gendered World The Relevance of the Millennium Goals
60,Gendered Mediation,Identity and Image Making in Canadian Politics,Angelia Wagner,"Despite decades of women’s participation in politics, the gender identities of Canadian politicians continue to attract media and public attention and shape the way they are perceived and evaluated. Gendered Mediation takes an original approach to the study of gender and political communication by examining the implications of intersecting notions of gender, sexuality, race, age, and class deployed by politicians, journalists, and citizens in Canadian politics. Building upon the gendered mediation thesis, leading scholars argue that political communication and reporting still reinforces impressions of politics as a masculine domain. Their findings have profound implications for democracy not only in Canada but also for democratic political systems elsewhere.",9780774860581,Gendered Mediation Identity and Image Making in Canadian Politics
62,Female Mobility and Gendered Space in Ancient Greek Myth,,Ariadne Konstantinou,"Women's mobility is central to understanding cultural constructions of gender. Regarding ancient cultures, including ancient Greece, a re-evaluation of women's mobility within the household and beyond it is currently taking place. This invites an informed analysis of female mobility in Greek myth, under the premise that myth may open a venue to social ideology and the imaginary. Female Mobility and Gendered Space in Ancient Greek Myth offers the first comprehensive analysis of this topic. It presents close readings of ancient texts, engaging with feminist thought and the 'mobility turn'. A variety of Olympian goddesses and mortal heroines are explored, and the analysis of their myths follows specific chronological considerations. Female mobility is presented in quite diverse ways in myth, reflecting cultural flexibility in imagining mobile goddesses and heroines. At the same time, the out-of-doors spaces that mortal heroines inhabit seem to lack a public or civic quality, with the heroines being contained behind 'glass walls'. In this respect, myth seems to reproduce the cultural limitations of ancient Greek social ideology on mobility, inviting us to reflect not only on the limits of mythic imagination but also on the timelessness of Greek myth.",9781474256773,
64,Gendered Passages,"French-Canadian Migration to Lowell, Massachusetts, 1900-1920",Yukari Takai,"Gendered Passages is the first full-length book devoted to the gendered analysis of the lives of French-Canadian migrants in early-twentieth-century Lowell, Massachusetts. It explores the ingenious and, at times, painful ways in which French-Canadian women, men, and children adjusted to the challenges of moving to, and settling in, that industrial city. Yukari Takai uncovers the multitude of cross-border journeys of Lowell-bound French Canadians, the centrality of their family networks, and the ways in which the ideology of the family wage and the socioeconomic realities in Québec and New England shaped migrants' lives on both sides of the border. Takai argues that French-Canadian husbands and wives, fathers and mothers, sons and daughters harboured complex interpersonal dynamics whereby differing and, at times, conflicting interests had to be negotiated in not necessarily equal terms, but in accordance with each member's power and authority within the family and, by extension, larger society. Drawing on extensive historical research including archival records, collections of oral histories, newspapers, and contemporary observations in both English and French, Gendered Passages contributes to the re-reading of French-Canadian migration, which constitutes a fundamental part of North American history.",STANFORD:36105131739216,"Gendered Passages French-Canadian Migration to Lowell, Massachusetts, 1900-1920"
65,Gendered Education,"Sociological Reflections on Women, Teaching, and Feminism",Sandra Acker,"Addresses invisibilities and inequities in the sociology of education, the careers of women teachers and the experiences of women academics. The author examines the development of the sociology of women's education and considers whether gender equity in education is feasible.",STANFORD:36105121762582,"Gendered Education Sociological Reflections on Women, Teaching, and Feminism"
66,GenderSpeak,Communicating in a Gendered World,Diana K. Ivy,The World of Gender and Communication is Constantly Changing.,1465286527,GenderSpeak Communicating in a Gendered World
68,The Gendered Score,Music in 1940s Melodrama and the Woman's Film,Heather Laing,"Heather Laing examines, for the first time, the issues of gender and emotion that underpin the classical style of film scoring, but that have until now remained unquestioned and untheorized, thus providing a benchmark for thinking on more recent and alternative styles of scoring. Case studies of specific films provide textual and musical analyses, and the genres of melodrama and the woman's film have been chosen as representative not only of the epitome of the Hollywood scoring style, but also of the narrative association of women, emotion and music. Laing leads to the conclusion that music functions as more than merely a signifier of emotion. Rather, it takes a crucial role in both indicating and determining how emotion is actually understood as part of the construction of gender and its representation in film.",UOM:39015074288500,The Gendered Score Music in 1940s Melodrama and the Woman's Film
69,Revisiting Gendered States,Feminist Imaginings of the State in International Relations,Swati Parashar,"Two decades ago, V. Spike Peterson's Gendered States asked what difference gender makes in international relations and the construction of the sovereign state system. This book connects the earlier debates of Peterson's book with the gendered state today, one that exists within a globalized and increasingly securitized world. Bringing together an international group of contributors from the Global South, United States, Europe, and Australia, this volume answers three overarching questions. First, it answers whether the concept of a ""gendered state"" is generic or if some states are particularly gendered in their identities and interests, and with what implications for the type of citizenship, society, and international security. Second, it looks at the continued theoretical significance of the gendered state for current IR scholarship. And, finally, it explains to what extent postcolonial states are distinctive from metropolitan states with regard to gender. Including scholars from International Relations, Postcolonial Studies, and Development Studies, this volume collectively theorizes the modern state and its intricate relationship to security, identity politics, and gender. With a preface by V. Spike Peterson, this book aims to connect the earlier debates of Peterson's book with the gendered state today, one that exists within a globalized and increasingly securitized world. Bringing together an international group of contributors from the Global South, United States, Europe, and Australia, this volume will answer three overarching questions. First, it will answer whether the concept of a ""gendered state"" is generic or if some states are particularly gendered in their identities and interests, and with what implications for the type of citizenship, society, and international security. Second, it will look at the continued theoretical significance of the gendered state for current IR scholarship. And, finally, it will explain to what extent postcolonial states are distinctive from metropolitan states with regard to gender. Including scholars from International Relations, Postcolonial Studies, and Development Studies, this volume collectively theorizes the modern state and its intricate relationship to security, identity politics, and gender.",9780190644062,Revisiting Gendered States Feminist Imaginings of the State in International Relations
71,Gendered Moods,Psychotropics and Society,Elizabeth Ettorre,Tranquillisers are prescribed to almost twice as many women as men yet little research has been has been carried out on the gendered character of drug use. A much needed introduction to a neglected area of study.,0415082137,Gendered Moods Psychotropics and Society
73,In Pursuit of Equity,"Women, Men, and the Quest for Economic Citizenship in 20th Century America",Alice Kessler-Harris,"A major new work by a leading women's historian and a study of how a ""gendered imagination"" has shaped social policy in America. Illustrations.",9780195158021,"In Pursuit of Equity Women, Men, and the Quest for Economic Citizenship in 20th Century America"
75,Equity,In Theory and Practice,H. Peyton Young,"Governments and institutions, perhaps even more than markets, determine who gets what in our society. They make the crucial choices about who pays the taxes, who gets into college, who gets medical care, who gets drafted, where the hazardous waste dump is sited, and how much we pay for public services. Debate about these issues inevitably centers on the question of whether the solution is ""fair."" In this book, H. Peyton Young offers a systematic explanation of what we mean by fairness in distributing public resources and burdens, and applies the theory to actual cases.",0691044643,Equity In Theory and Practice
77,Equity 101- The Equity Framework,,Curtis Linton,"Based on the common characteristics observed in highly successful diverse schools, Equity 101 guides educational leaders in creating an environment where excellence is the norm.",9781412995177,
79,Elevating Equity and Justice,Ten U.S. Supreme Court Cases Every Teacher Should Know,Robert Kim,"""The author describes ten interesting U.S. Supreme Court cases every K-12 teacher should know about because they delve into some of the most important topics educators face every day. These legal issues swirl constantly around million of teachers, administrators, and school personnel. Learn how they can help you address the needs of students""--",0325092141,Elevating Equity and Justice Ten U.S. Supreme Court Cases Every Teacher Should Know
81,Opening Doors to Equity,A Practical Guide to Observation-Based Professional Learning,Tonya Ward Singer,"This compelling book is a call to action, focused on team observation-based professional learning to elevate teaching practice and support student educational attainment.",145229223X,Opening Doors to Equity A Practical Guide to Observation-Based Professional Learning
