,kind,totalItems,items__kind,items__id,items__etag,items__selfLink,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__publisher,items__volumeInfo__publishedDate,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__type,items__volumeInfo__industryIdentifiers__identifier,items__volumeInfo__readingModes__text,items__volumeInfo__readingModes__image,items__volumeInfo__pageCount,items__volumeInfo__printType,items__volumeInfo__maturityRating,items__volumeInfo__allowAnonLogging,items__volumeInfo__contentVersion,items__volumeInfo__panelizationSummary__containsEpubBubbles,items__volumeInfo__panelizationSummary__containsImageBubbles,items__volumeInfo__imageLinks__smallThumbnail,items__volumeInfo__imageLinks__thumbnail,items__volumeInfo__language,items__volumeInfo__previewLink,items__volumeInfo__infoLink,items__volumeInfo__canonicalVolumeLink,items__saleInfo__country,items__saleInfo__saleability,items__saleInfo__isEbook,items__accessInfo__country,items__accessInfo__viewability,items__accessInfo__embeddable,items__accessInfo__publicDomain,items__accessInfo__textToSpeechPermission,items__accessInfo__epub__isAvailable,items__accessInfo__pdf__isAvailable,items__accessInfo__webReaderLink,items__accessInfo__accessViewStatus,items__accessInfo__quoteSharingAllowed,items__searchInfo__textSnippet,items__volumeInfo__categories__-,items__volumeInfo__averageRating,items__volumeInfo__ratingsCount,items__saleInfo__listPrice__amount,items__saleInfo__listPrice__currencyCode,items__saleInfo__retailPrice__amount,items__saleInfo__retailPrice__currencyCode,items__saleInfo__buyLink,items__saleInfo__offers__finskyOfferType,items__saleInfo__offers__|,items__saleInfo__offers__|__amountInMicros,items__saleInfo__offers__|__currencyCode,items__accessInfo__epub__acsTokenLink,items__volumeInfo__authors__002,items__accessInfo__pdf__acsTokenLink,items__volumeInfo__authors__003,items__volumeInfo__authors__004
19,books#volumes,1.0,books#volume,QL7EAQAACAAJ,+8JG8Ah/Jao,https://www.googleapis.com/books/v1/volumes/QL7EAQAACAAJ,The Politically Incorrect Guide to White Guilt,Political Correctness and Evolution - Connecting the Dots,Anthony Giles Tainton,Createspace Independent Publishing Platform,2017-03-21,"Evolution is true, right? Colonialism was a blight upon the planet, right? The problems in the world can all be traced back to the white man, right? Slavery is the biggest sin ever perpetrated upon the globe and was carried out by the white man, right? Multiculturalism is something we simply have to adjust to, right? Political correctness is the rule to live by, right? Truth is the new hate speech, right? If this is the content of the messages that reach your eyes and ears every day, but you are not quite sure of how true or right they are, or how you should react to them, this book is for you. And it goes a lot further, as it deals with pressing social issues such as the Islamization of Europe, the coming New World Order, and what it entails. Does it concern you that men are marrying men? Does it concern you that the Pope supports both gay rights and Islam, and says that God is not divine? How do you feel about the drive toward the unity of all churches under the aegis of the Pope? Are you happy about being herded into a global religious ecumenical hug? Wasn't America built on the premise of escaping papal persecution? Is Sunday the real Sabbath? Is uniting with Catholicism the best option for America and the West? Is the separation of church and state really a metaphor based on bad history, that Trump is vowing to dismantle? What about the radical fraying of the fabric of society, and the downward spiral in morality? Perhaps we need to take a little step back and retrace our steps up to the present. White civilization took over the world, and it was self-consciously Christian at the time. Maybe we need to go back to the Bible, and connect the dots between what it says and the impact made by white civilization upon history. This book is entirely unique and is of particular relevance to the times in which we live. It is entirely unique for two reasons. First, it links Western Christian civilization - Modern Israel - to the Bible and shows how the West fulfilled all the promises God made to Abraham about taking over large swathes of the world - so as to bring the conquered to a knowledge of the truth of God, and so that ""through you, all nations of the earth will be blessed."" Second, it shows how the West reneged on its God-given responsibility and adopted the idea of evolution as our story of origin. As long as the West held to the Great Commission that they were given to ""Go and teach all nations..."" there was reason, purpose and justification for the colonization of the world. The colonial era, despite all its negative propaganda, was the greatest force for good ever to operate upon the planet. But as soon as the West let go of the Bible and embraced evolution as our origin, the reasons for our expansionism evaporated, the justification for our wealth and prosperity evaporated, and we began to sink into the slime from which we claimed to have emerged. But despite all the hoopla, there is to this day, absolutely no scientific proof for evolution. Anyone who doubts evolution is made to feel ignorant and stupid. It was the belief in the Bible that brought the West to the heights of its cultural preeminence. At the height of our power we had the opportunity to tell everyone how they too could flourish as we were flourishing. But instead of pride in the validity of our beliefs, we began to feel guilty about our success, and White Guilt became the hallmark of the Western world. In order to cope with our guilt, we elevated all cultures to having the same value as our own, and multiculturalism became the benchmark of a supposedly fair and balanced approach to the world. Hot on the heels of multiculturalism, came political correctness which, with its myriad of conflicting claims to having the right to feel insulted, freedom of speech has become radically undermined, and we end up wondering what we are allowed to say next. This book is the best advertisement for Protestant Christianity ever written.",ISBN_10,1544716982,False,False,478.0,BOOK,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=QL7EAQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=QL7EAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=QL7EAQAACAAJ&dq=isbn:9781544716985&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=QL7EAQAACAAJ&dq=isbn:9781544716985&hl=&source=gbs_api,https://books.google.com/books/about/The_Politically_Incorrect_Guide_to_White.html?hl=&id=QL7EAQAACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=QL7EAQAACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,This book is the best advertisement for Protestant Christianity ever written.,,,,,,,,,,,,,,,,,
21,books#volumes,1.0,books#volume,7QntDKm4diYC,zr6Ht+purUs,https://www.googleapis.com/books/v1/volumes/7QntDKm4diYC,Literature Lost,Social Agendas and the Corruption of the Humanities,John Martin Ellis,Yale University Press,1997-01-01,"In the span of less than a generation, university humanities departments have experienced an almost unbelievable reversal of attitudes, now attacking and undermining what had previously been considered best and most worthy in the Western tradition. John M. Ellis here scrutinizes the new regime in humanistic studies. He offers a careful, intelligent analysis that exposes the weaknesses of notions that are fashionable in humanities today. In a clear voice, with forceful logic, he speaks out against the orthodoxy that has installed race, gender, and class perspectives at the center of college humanities curricula. Ellis begins by showing that political correctness is a recurring impulse of Western society and one that has a discouraging history. He reveals the contradictions and misconceptions that surround the new orthodoxy and demonstrates how it is most deficient just where it imagines itself to be superior. Ellis contends that humanistic education today, far from being historically aware, relies on anachronistic thinking; far from being skeptical of Western values, represents a ruthless and unskeptical Western extremism; far from being valuable in bringing political perspectives to bear, presents politics that are crude and unreal; far from being sophisticated in matters of ""theory,"" is largely ignorant of the range and history of critical theory; far from valuing diversity, is unable to respond to the great sweep of literature. In a concluding chapter, Ellis surveys the damage that has been done to higher education and examines the prospects for change.",ISBN_10,0300075790,True,False,262.0,BOOK,NOT_MATURE,False,0.0.2.0.preview.2,False,False,http://books.google.com/books/content?id=7QntDKm4diYC&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=7QntDKm4diYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=7QntDKm4diYC&dq=isbn:9780300075793&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=7QntDKm4diYC&dq=isbn:9780300075793&hl=&source=gbs_api,https://books.google.com/books/about/Literature_Lost.html?hl=&id=7QntDKm4diYC,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,True,False,http://play.google.com/books/reader?id=7QntDKm4diYC&hl=&printsec=frontcover&source=gbs_api,NONE,False,"In a concluding chapter, Ellis surveys the damage that has been done to higher education and examines the prospects for change.",Literary Criticism,2.0,1.0,,,,,,,,,,,,,,
23,books#volumes,1.0,books#volume,fyBXAAAAYAAJ,0bG68L/i4Vg,https://www.googleapis.com/books/v1/volumes/fyBXAAAAYAAJ,Politically Incorrect,,George Jonas,Lester Publishing,1991,,OTHER,UVA:X002087936,False,False,311.0,BOOK,NOT_MATURE,False,0.1.1.0.preview.0,False,False,http://books.google.com/books/content?id=fyBXAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=fyBXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=fyBXAAAAYAAJ&dq=isbn:9781895555042&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=fyBXAAAAYAAJ&dq=isbn:9781895555042&hl=&source=gbs_api,https://books.google.com/books/about/Politically_Incorrect.html?hl=&id=fyBXAAAAYAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=fyBXAAAAYAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,,Literary Criticism,,,,,,,,,,,,,,,,
24,books#volumes,1.0,books#volume,EKcnKQEACAAJ,giyfhpXN0pU,https://www.googleapis.com/books/v1/volumes/EKcnKQEACAAJ,The Danger of Progressive Liberalism,"How America Is Threatened by Excessive Government, Multiculturalism, Political Correctness, Entitlement, and the Failures of Both Political Parties",Charles Gross,,2011-05-01,"The United States is under assault by the progressive attitudes and actions of the liberal Left. At this critical time in our history, it is imperative that conservatives stand united against this assault. The majority of Americans are not progressive liberals, so why should we have to live with progressive liberal policies? Charles Gross thinks it's time to fi ght for individual liberties and America's future. He makes a case for the following: Liberals consistently say one thing and do another. Liberal politicians blatantly promote racism and divisiveness. Progressive liberal concepts enable the Islamic agenda of global domination. Many moderate Americans support liberal candidates, voting against their own best interests. Republican politicians contribute to the problem by failing to act with integrity and according to the Constitution. Gross proposes achievable solutions to restore traditional American values. By reducing the size of the federal government, reforming taxation, maintaining a strong national defense, and applying the tenets of the United States Constitution along with common sense, it is possible to save America from progressive liberalism.",ISBN_10,1462005438,False,False,200.0,BOOK,NOT_MATURE,False,preview-1.0.0,,,http://books.google.com/books/content?id=EKcnKQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=EKcnKQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=EKcnKQEACAAJ&dq=isbn:9781462005437&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=EKcnKQEACAAJ&dq=isbn:9781462005437&hl=&source=gbs_api,https://books.google.com/books/about/The_Danger_of_Progressive_Liberalism.html?hl=&id=EKcnKQEACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=EKcnKQEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"The majority of Americans are not progressive liberals, so why should we have to live with progressive liberal policies? Charles Gross thinks it&#39;s time to fi ght for individual liberties and America&#39;s future.",Political Science,,,,,,,,,,,,,,,,
26,books#volumes,1.0,books#volume,1W6dMudInpkC,tvLmd1doAz8,https://www.googleapis.com/books/v1/volumes/1W6dMudInpkC,Red Hot Lies,"How Global Warming Alarmists Use Threats, Fraud, and Deception to Keep You Misinformed",Christopher C. Horner,Simon and Schuster,2008-11-11,"Liars--Al Gore, the United Nations, the New York Times. The global warming lobby, relentless in its push for bigger government, more spending, and more regulation, will use any means necessary to scare you out of your wits--as well as your tax dollars and your liberties--with threats of rising oceans, deadly droughts, and unspeakable future consequences of ""climate change."" In pursuing their anti-energy, anti-capitalist, and pro-government agenda, the global warming alarmists--and unscrupulous scientists who see this scare as their gravy train to federal grants and foundation money--resort to dirty tricks, smear campaigns, and outright lies, abandoning scientific standards, journalistic integrity, and the old-fashioned notions of free speech and open debate. In Red Hot Lies, bestselling author Christopher Horner--himself the target of Greenpeace dirty tricks and alarmist smears--exposes the dark underbelly of the environmental movement. Power-hungry politicians blacklist scientists who reject global warming alarmism. U.S. senators threaten companies that fund climate change dissenters. Mainstream media outlets openly reject the notion of ""balance."" The occasional unguarded scientist candidly admits the need to twist the facts to paint an uglier picture in order to keep the faucet of government money flowing. In the name of ""saving the planet,"" anything goes. But why the nasty tactics? Why the cover ups, lies, and intimidation? Because Al Gore and his ilk want to use big government at the local, state, federal, and global level to run your life, and they can brook no opposition. But the actual facts, as Red Hot Lies makes clear, aren't nearly as scary as their fiction.",ISBN_13,9781596980747,True,False,407.0,BOOK,NOT_MATURE,True,1.9.9.0.preview.2,False,False,http://books.google.com/books/content?id=1W6dMudInpkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=1W6dMudInpkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=1W6dMudInpkC&printsec=frontcover&dq=isbn:9781596980747&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=1W6dMudInpkC&source=gbs_api,https://play.google.com/store/books/details?id=1W6dMudInpkC,NL,FOR_SALE,True,NL,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,True,False,http://play.google.com/books/reader?id=1W6dMudInpkC&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"In Red Hot Lies, bestselling author Christopher Horner--himself the target of Greenpeace dirty tricks and alarmist smears--exposes the dark underbelly of the environmental movement.",Political Science,3.0,4.0,15.02,EUR,15.02,EUR,https://play.google.com/store/books/details?id=1W6dMudInpkC&rdid=book-1W6dMudInpkC&rdot=1&source=gbs_api,1.0,listPrice,15020000.0,EUR,http://books.google.nl/books/download/Red_Hot_Lies-sample-epub.acsm?id=1W6dMudInpkC&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,
28,books#volumes,1.0,books#volume,JZhjQgAACAAJ,nJvxSnQcz+A,https://www.googleapis.com/books/v1/volumes/JZhjQgAACAAJ,Global Warming,Apocalypse Or Hot Air?,Roger Bate,Institute of Economic Affairs,1994,Global Warming: Apocalypse or Hot Air?,ISBN_10,0255363311,False,False,54.0,BOOK,NOT_MATURE,False,preview-1.0.0,,,http://books.google.com/books/content?id=JZhjQgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=JZhjQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=JZhjQgAACAAJ&dq=isbn:9780255363310&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=JZhjQgAACAAJ&dq=isbn:9780255363310&hl=&source=gbs_api,https://books.google.com/books/about/Global_Warming.html?hl=&id=JZhjQgAACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=JZhjQgAACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,In this study the authors examine the so-called scientific &#39;consensus&#39; about global warming.,Air,,,,,,,,,,,,,Julian Morris,,,
30,books#volumes,1.0,books#volume,IV3uAAAAMAAJ,EXOzBXJiOBs,https://www.googleapis.com/books/v1/volumes/IV3uAAAAMAAJ,The Politics of Bad Faith,The Radical Assault on America's Future,David Horowitz,,1998,"Explores the history of the radical idea from its nineteenth-century socialist origins to present-day attitudes toward multiculturalism, the ACLU, social equality, radical feminism, and the AIDS epidemic",OTHER,UOM:39015039046308,False,False,214.0,BOOK,NOT_MATURE,False,0.1.2.0.preview.0,False,False,http://books.google.com/books/content?id=IV3uAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=IV3uAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.nl/books?id=IV3uAAAAMAAJ&dq=isbn:9780684850238&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=IV3uAAAAMAAJ&dq=isbn:9780684850238&hl=&source=gbs_api,https://books.google.com/books/about/The_Politics_of_Bad_Faith.html?hl=&id=IV3uAAAAMAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=IV3uAAAAMAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"Explores the history of the radical idea from its nineteenth-century socialist origins to present-day attitudes toward multiculturalism, the ACLU, social equality, radical feminism, and the AIDS epidemic",Political Science,4.5,3.0,,,,,,,,,,,,,,
31,books#volumes,1.0,books#volume,TYsEEAAAQBAJ,bqdLtKJtR+g,https://www.googleapis.com/books/v1/volumes/TYsEEAAAQBAJ,"Political Correctness Does More Harm Than Good: How to Identify, Debunk, and Dismantle Dangerous Ideas",,Douglas Kruger,Ambassador International,2020-10-27,"Political Correctness Does More Harm Than Good! It’s a surprising assertion. Isn’t PC culture all about kindness? About protecting victimized groups? If you trace the history of political correctness, the answer is emphatically no. It has other goals in mind and has since its inception with thinkers like Rousseau. Author Douglas Kruger traces the unfolding ideology from its dark genesis (the French Revolution and subsequent terror) through its various incarnations— Marxism, relativism, post-modernism, and all the way to today’s identity-politics. He points out the flaws, fallacies, and in many cases, the body-counts these ideologies have wracked up. Uniquely, this book then goes one step further. It is not merely descriptive history; it is not just explanatory philosophy. This is a debate guide, a how-to manual for those interested in attacking these harmful ideas head on. Do you know how to articulate what is wrong with “woke” arguments? Do you know how to defend the Western tradition against relentless onslaught from the PC-Police? Here is how, step by step and argument by argument. Become a master at identifying, debunking, and dismantling dangerous ideas. Add your voice to the culture wars and learn precisely how to fight for tried and tested Western values—values like science, democracy, logic, rule of law, and the Judeo-Christian tradition of human rights and values. As it turns out, you can have truth, or you can have political correctness, but you can’t have both. Award-winning speaker and author Douglas Kruger also provides you with supplemental “how-to” videos on his site www.BreakingWoke.com.",ISBN_13,9781649600929,True,True,450.0,BOOK,NOT_MATURE,True,1.1.1.0.preview.3,False,False,http://books.google.com/books/content?id=TYsEEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=TYsEEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=TYsEEAAAQBAJ&printsec=frontcover&dq=isbn:9781649600929&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=TYsEEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=TYsEEAAAQBAJ,NL,FOR_SALE,True,NL,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=TYsEEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Uniquely, this book then goes one step further. It is not merely descriptive history; it is not just explanatory philosophy. This is a debate guide, a how-to manual for those interested in attacking these harmful ideas head on.",Political Science,5.0,1.0,9.22,EUR,9.22,EUR,https://play.google.com/store/books/details?id=TYsEEAAAQBAJ&rdid=book-TYsEEAAAQBAJ&rdot=1&source=gbs_api,1.0,listPrice,9220000.0,EUR,,,,,
33,books#volumes,1.0,books#volume,1samovCrW9wC,hqxZAYwC+iM,https://www.googleapis.com/books/v1/volumes/1samovCrW9wC,The Politically Incorrect Guide to The South,(And Why It Will Rise Again),Clint Johnson,Simon and Schuster,2007-01-17,"The latest installment in the New York Times bestselling Politically Incorrect Guide series expands on the pro-South slant of the hugely successful Politically Incorrect Guide to American History. Author Clint Johnson shows why the South, with its emphasis on traditional values, family, faith, military service, good manners, small government, and independent-minded people, should certainly rise again!",ISBN_13,9781596986169,True,False,288.0,BOOK,NOT_MATURE,True,2.6.8.0.preview.2,False,False,http://books.google.com/books/content?id=1samovCrW9wC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=1samovCrW9wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,un,http://books.google.nl/books?id=1samovCrW9wC&printsec=frontcover&dq=isbn:9781596986169&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=1samovCrW9wC&source=gbs_api,https://play.google.com/store/books/details?id=1samovCrW9wC,NL,FOR_SALE,True,NL,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,True,False,http://play.google.com/books/reader?id=1samovCrW9wC&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Author Clint Johnson shows why the South, with its emphasis on traditional values, family, faith, military service, good manners, small government, and independent-minded people, should certainly rise again!",History,5.0,1.0,15.02,EUR,15.02,EUR,https://play.google.com/store/books/details?id=1samovCrW9wC&rdid=book-1samovCrW9wC&rdot=1&source=gbs_api,1.0,listPrice,15020000.0,EUR,http://books.google.nl/books/download/The_Politically_Incorrect_Guide_to_The_S-sample-epub.acsm?id=1samovCrW9wC&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,
35,books#volumes,1.0,books#volume,Up5utAEACAAJ,uku/efxVFEc,https://www.googleapis.com/books/v1/volumes/Up5utAEACAAJ,The Politically Incorrect Real Estate Agent Handbook,A Serious How-To Manual with a Sense of Humor,Porcelli Jr F Peter,,2017-10-03,"WARNING: This book is not about politics nor does it promote being a jerk; however, victims, wimpy-minded, and lazy people will hate it. This real estate handbook is not like the others: it has flow charts and over 100 common (and not-so-common) real estate agent tasks presented as simple, step-by-step recipes. And it has pictures. And it's funny (or at least grin-worthy). In other words, it's comprehensive and not boring. The best part is: as a collection of brief articles, this book is easy to digest in small bites; however, because real estate tasks are so interrelated, each article is heavily cross-referenced. This way, the reader may delve deep into any topic (or train of thought) by either turning the page or by following a cross-reference. Such layout makes for easy navigation now and in the future, because you'll wanna return to certain articles over and over again. So, you can read it from cover-to-cover, or you can choose your own real estate adventure, reading only the bits that fit your current curiosity. You will learn: How-to choose a broker who fits your needs; How-to maximize your prospecting efforts (including 105 ways to meet prospects); How-to pre-qualify buyers and sellers (so you don't waste time on duds); How-to discover what your buyers really want; How-to show property and help your buyers decide; How-to conduct a slam-dunk listing presentation; How-to attract buyers to your listings; How-to draft offers/create contracts/negotiate (including low-ball and multiple offer situations); How-to get your clients to the closing table; How-to avoid commission breath and ensure you get paid; How-to study the marketplace through statistical analysis; How-to valuate real property and pick The Right Price; How-to business plan/track agent stats/identify and alleviate bottlenecks; How-to create a niche for more income; How-to create and practice scripts; How-to create and refine systems; How-to banish victimhood and take charge of your real estate sales business. Plus much, much more! Frankly, this book should cost $100, but the author wants to give it away cheap. Get yours now before he changes his mind.",ISBN_10,0998960802,False,False,370.0,BOOK,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=Up5utAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=Up5utAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=Up5utAEACAAJ&dq=isbn:9780998960807&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=Up5utAEACAAJ&dq=isbn:9780998960807&hl=&source=gbs_api,https://books.google.com/books/about/The_Politically_Incorrect_Real_Estate_Ag.html?hl=&id=Up5utAEACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=Up5utAEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"WARNING: This book is not about politics nor does it promote being a jerk; however, victims, wimpy-minded, and lazy people will hate it.",Business & Economics,,,,,,,,,,,,,,,,
37,books#volumes,1.0,books#volume,4hF2wgEACAAJ,6fsuXAiDYrs,https://www.googleapis.com/books/v1/volumes/4hF2wgEACAAJ,The War on Psychotherapy,"When Sexual Politics, Gender Ideology, and Mental Health Collide",Christopher Doyle,,2019,"Psychotherapist Christopher Doyle provides a map of the assault on personal freedom and religious liberty and shows how clinicians, legislators, and citizens can work together to stop fraudulent LGBT activism, end harmful counseling practices, and ensure effective assistance for those struggling with sexual and gender identity conflicts.",ISBN_10,0998043508,False,False,412.0,BOOK,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=4hF2wgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=4hF2wgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=4hF2wgEACAAJ&dq=isbn:9780998043500&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=4hF2wgEACAAJ&dq=isbn:9780998043500&hl=&source=gbs_api,https://books.google.com/books/about/The_War_on_Psychotherapy.html?hl=&id=4hF2wgEACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=4hF2wgEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"Psychotherapist Christopher Doyle provides a map of the assault on personal freedom and religious liberty and shows how clinicians, legislators, and citizens can work together to stop fraudulent LGBT activism, end harmful counseling ...",Gay rights,,,,,,,,,,,,,,,,
39,books#volumes,1.0,books#volume,U0FtQgAACAAJ,uusDOdfaNTE,https://www.googleapis.com/books/v1/volumes/U0FtQgAACAAJ,Climatism!,"Science, Common Sense, and the 21st Century's Hottest Topic",Steve Goreham,,2010,"This is a complete common-sense look at the science, politics, and energy-policy aspects of global warming. With over 400 pages and 135 figures, Steve Goreham demonstrates that climate change is due to natural causes, not man-made greenhouse gas emissions. Therefore, a misguided mankind is engaged in a futile effort to control Earth's temperature, imposing draconian policies that will limit our freedoms and radically transform our way of life. A readable and down-to-earth book, yet packed with the latest scientific and economic data, this is a must read for anyone wishing to know the real story about climate change.",ISBN_10,0982499639,False,False,466.0,BOOK,NOT_MATURE,False,preview-1.0.0,,,http://books.google.com/books/content?id=U0FtQgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=U0FtQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=U0FtQgAACAAJ&dq=isbn:9780982499634&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=U0FtQgAACAAJ&dq=isbn:9780982499634&hl=&source=gbs_api,https://books.google.com/books/about/Climatism.html?hl=&id=U0FtQgAACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=U0FtQgAACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"&quot;This is a serious book that carefully examines the issues that have been used to create the current climate change/global warming crisis...I endorse Climatism for its easy-to-read, well-illustrated presentation of complex science.",Political Science,,,,,,,,,,,,,,,,
41,books#volumes,1.0,books#volume,VtMuvgEACAAJ,5ULcENgR7ew,https://www.googleapis.com/books/v1/volumes/VtMuvgEACAAJ,A Change of Affection,A Gay Man's Incredible Story of Redemption,Becket Cook,Thomas Nelson,2019,"The powerful, dramatic story of how a successful Hollywood set designer whose identity was deeply rooted in his homosexuality came to be suddenly and utterly transformed by the power of the gospel.",ISBN_10,1400212308,False,False,224.0,BOOK,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=VtMuvgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=VtMuvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,un,http://books.google.nl/books?id=VtMuvgEACAAJ&dq=isbn:9781400212309&hl=&cd=1&source=gbs_api,http://books.google.nl/books?id=VtMuvgEACAAJ&dq=isbn:9781400212309&hl=&source=gbs_api,https://books.google.com/books/about/A_Change_of_Affection.html?hl=&id=VtMuvgEACAAJ,NL,NOT_FOR_SALE,False,NL,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=VtMuvgEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"The powerful, dramatic story of how a successful Hollywood set designer whose identity was deeply rooted in his homosexuality came to be suddenly and utterly transformed by the power of the gospel.",Biography & Autobiography,,,,,,,,,,,,,,,,
