,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
54,World Resources 1988-1989,,Iied,"Chapters cover population and health; human settlements; food and agriculture; forests and rangelands; wildlife and habitat; energy; freshwater, oceans and coasts; atmosphere and climate; global systems and cycles; policies and institutions. Annotation copyrighted by Book News, Inc., Portland, OR",0465092411,
59,Choosing Mercy,A Mother of Murder Victims Pleads to End the Death Penalty,Antoinette Bosco,"In telling her dramatic journey from grief to forgiveness, Bosco presents compelling arguments to why the death penalty does not work and morally is wrong. ""Choosing Mercy"" is timely, gut-honest, and inspiring.",UOM:39015050546434,Choosing Mercy A Mother of Murder Victims Pleads to End the Death Penalty
60,Leach's Tax Dictionary,,Robert Leach,"Leach’s Tax Dictionary contains over 1,000 pages of definitions. It has three sections: the first lists definitions; the second is a list of abbreviations found in official publications, including government press releases where new abbreviations are made up almost every week; and the third gives a list of tax rates and other information which may be of use to a tax accountant/lawyer.",9781913507206,
62,American Corrections,Concepts and Controversies,Barry A. Krisberg,"American Corrections, Second Edition offers you a contemporary, issues-oriented introduction that covers every aspect of corrections, prompting you to think critically about complex issues that are affecting the current U.S. correctional system. Incorporating the most recent theory, research, and data available, the Second Edition encourages you to explore the most interesting and progressive developments in correctional policy and practice. Authors Barry A. Krisberg, Susan Marchionna, and Christopher J. Hartney draw from years of professional experience to give you a practical knowledge of corrections, as well as provide a framework for thoughtful analysis into what is plaguing the American correctional system and a realistic exploration of the solutions that could make a difference. New to the Second Edition: Up-to-date coverage of today’s key issues reflects the latest developments in corrections, including the fiscal impact of corrections, reforms in corrections, and an expanded use of alternatives to incarceration. Debates around the effectiveness of corrections encourage you to think critically about probation, problem-solving courts, split sentences and flash incarceration, new recidivism studies, rates of racial and ethnic disparity in adult and juvenile corrections, and overrepresentation of youth of color in prisons. Recent trends are discussed to give you a clearer picture of how the correctional system has transformed over the years, including the decline in the practice of incarcerating juveniles in large prisons, the rising incarceration rate for women, the treatment of mentally ill inmates, the increase of private prisons, and more. Incisive exploration of policies proposed by the Trump administration shows you how the current administration’s approach differs from Obama-era sentencing reforms and encourages students to think critically about the potent impacts on the correctional system. New Spotlight boxes introduce you to key issues such as immigration and detention and the opioid addiction epidemic. Updated references, statistics, court rulings, and data help you understand the latest trends in correctional practices.",9781544318240,American Corrections Concepts and Controversies
64,UPSC Prelims and Mains Exam 2020: Subject Wise Current Affairs,,R P Meena,"UPSC Prelims and Mains Exam 2020: Subject Wise Current Affairs UPSC Prelims and Mains Exam 2020 : Subject Wise Current Affairs Important / Trending topics for IAS Exam.Subject Wise Current Affairs is an effort to make current affairs available in a more organized manner in accordance with the UPSC Exam Syllabus. Current affairs are of course the most important aspect in Civil services Exam preparation. We should always analyse Current affairs from the UPSC preliminary exam and the UPSC mains exam perspective.No matter which subject UPSC asks questions from (economics, environment, History or from polity), it makes conscious efforts to link the subject to a current affair topic. It thus becomes an imperative for us to know what the term current affairs really mean from UPSC point of view. You can get a proper understanding through the analysis of the previous year question papers.If we examine the question papers from 2013 onwards till 2019 preliminary exam, almost close to 50-60% of the questions were asked from topics that are of current relevance. The number of questions based on Current Affairs varies from year to year.The logic behind such a shift in the pattern of question papers explains the intent of UPSC and its quest to have brightest minds to govern the country. However, for the quest to be fruitful it would be appropriate from the part of UPSC to examine the candidate’s awareness about the society in which he is living. Static knowledge would prove inefficient for such an analysis. Society is dynamic and is subjected to changes. A Civil Servant should have the skills of a barrister and also that of a diplomat in order to cope with the changing society and also show the cognitive skills to coordinate, mobilize arguments and achieve consensus in regard to the execution of his duty. This analytical nature of the duty demands the UPSC aspirants to have an analytical mind and awareness of the society. #upscexam2020 #iasexam2020 #iastrendingtopics #upsctrendingtopics #iasexam2020currentaffairs #upscexam2020currentaffairs #topicsprelims2020 #topicsmainsexam2020",,
66,Liberty or Lockdown,,Jeffrey Tucker,"Jeffrey Tucker is well known as the author of many informative and beloved articles and books on the subject of human freedom. Now he’s turned his attention to the most shocking and widespread violation of human freedom in our times: the authoritarian lockdown of society on the pretense that it is necessary in the face of a novel virus. Learning from the experts, Jeffrey Tucker has researched this subject from every angle. In this book, Tucker lays out the history, politics, economics, and science relevant to the coronavirus response. The result is clear: there is no justification for the lockdowns. It’s liberty or lockdown. We have to choose. The book includes a foreword by George Gilder.",9781630692124,
68,Prisons,,Bryan J. Grapes,"Essays argue for different opinions on the effectiveness of imprisonment, appropriate living conditions for prisoners, privatization of correctional facilities, and the use of convict labor",STANFORD:36105028529571,
69,Surviving Lockdown,Human Nature in Social Isolation,David Cohen,"2020 has been the year of the virus, and it will not be a mere footnote in history. This book reflects on the unprecedented changes to our lives and the impact on our behaviour as we lived through social isolation during the global COVID-19 pandemic. From sociable creatures of habit, we were forced into a period of uncertainty, restriction and risk, physically separated from families and friends. Packed with guidance and coping strategies for lockdown, this book, authored by top psychologist David Cohen, explores the impact of this widespread quarantine on our relationships, our children, our mental health and our daily lives. Benedictine monks, hermit popes, Dorothy Sayers, Daniel Defoe (who made the isolated Robinson Crusoe a hero), Sigmund Freud and a rabbi’s angry dog are all among the cast of characters as we are taken on a whistle-stop tour through plagues in history and brain science, to the importance of introspection and how to make meaning from lockdown. In his trademark entertaining style, Cohen examines the psychology behind our behaviour during this unusual time to discover what we can learn about human nature, what lessons we can learn for the future – and whether we will apply them.",9781000225662,Surviving Lockdown Human Nature in Social Isolation
71,Cabin Fever,Surviving Lockdown in the Coronavirus Pandemic,Paul Crawford,"Cabin fever occurs at sea, on land, in the air, in space. Principally, it occurs in our minds. This book examines ‘cabin fever’ in the wake of the coronavirus pandemic and the greatest confinement of people to their homes in history. It provides a timely account of the threat of cabin fever during lockdown.",9781800713543,Cabin Fever Surviving Lockdown in the Coronavirus Pandemic
80,"Schooling in a ""total Institution""",Critical Perspectives on Prison Education,Howard S. Davidson,The first critical examination of prison education written by prisoners and former prisoners that investigates prison schools as other than corrective institutions.,UOM:39015033978076,"Schooling in a ""total Institution"" Critical Perspectives on Prison Education"
85,About Prison,,Michael Santos,"In this unique and extraordinary text, Michael G. Santos helps others learn about the abnormal way of life behind the walls and fences of prisons. To provide readers with a more complete and realistic picture of the growing subculture that exists in prison, the author provides both his own experiences and observations of living as a prisoner, as well as dialogues, vignettes, and profiles of other prisoners and workers within the prison environment. This text addresses the unprecedented growth in the prison system over the past two decades, and asks future correctional professionals to critically examine the current prison system.",STANFORD:36105063694819,
87,PERB Decision ... HO-U,,California. Public Employment Relations Board,Unfair-practice case decisions (by hearing officers) that have been finalized without exception.,STANFORD:36105061996745,
95,Sales Losses in the First Quarter of the COVID-19 Pandemic,Evidence from California Administrative Data,Robert W. Fairlie,"COVID-19 led to a massive shutdown of businesses in the second quarter of 2020. Estimates from the CPS, for example, indicate that the number of active business owners dropped by 22 percent from February to April 2020. In this descriptive research note, we provide the first analysis of losses in sales and revenues among the universe of businesses in California using administrative data from the California Department of Tax and Fee Administration. The losses in sales average 17 percent in the second quarter of 2020 relative to the second quarter of 2019 even though year-over-year sales typically grow by 3-4 percent. We find that sales losses were largest in businesses affected by mandatory lockdowns such as Accommodations, which lost 91 percent, whereas online sales grew by 180 percent. Losses also differed substantially across counties with large losses in San Francisco (50 percent) and Los Angeles (24 percent) whereas some counties experienced small gains in sales. Placing business types into different categories based on whether they were essential or non-essential (and thus subject to early lockdowns) and whether they have a moderate or high level of person-to-person contact, we find interesting correlations between sales losses and COVID-19 cases per capita across counties in California. The results suggest that local implementation and enforcement of lockdown restrictions and voluntary behavioral responses as reactions to the perceived local COVID-19 spread both played a role, but enforcement of mandatory restrictions may have had a larger impact on sales losses.",OCLC:1235879118,Sales Losses in the First Quarter of the COVID-19 Pandemic Evidence from California Administrative Data
96,Corrections in the United States,A Contemporary Perspective,Dean J. Champion,"For one-semester, undergraduate/graduate introductory corrections courses. Comprehensive in scope and contemporary in perspective, this introduction to corrections in the U.S. covers the history, functions, types, and issues of jails and prisons. It explains parole and community-based corrections programs; surveys various aspects of corrections personnel; and explores the special issues of women and juveniles in relation to the system. Up-to-date material, and legal cases affecting correctional law and institutional corrections, provide students with broad coverage of both institutional and community corrections, probation, and parole.",STANFORD:36105060774226,Corrections in the United States A Contemporary Perspective
99,Hanford Site Historic District,"History of the Plutonium Production Facilities, 1943-1990",Hanford Cultural and Historic Resources Program,"The authors of the book are archaeologists, architectural historians, and anthropologists, who worked in conjunction with Hanford staff for verification of accuracy and authenticity.",UOM:39015056892188,"Hanford Site Historic District History of the Plutonium Production Facilities, 1943-1990"
100,Cheating Destiny,"Living with Diabetes, America's Biggest Epidemic",James S. Hirsch,"""We are a diabetic nation: one in three Americans born in this century will become diabetic. Journalist Hirsch's blend of history, reportage, advocacy, and memoir will speak for, and to, the 20 million Americans who live with this disease. This book offer",UVA:X030151717,"Cheating Destiny Living with Diabetes, America's Biggest Epidemic"
104,The Raptor Virus,A Novel,Frank Simon,"Having returned to work for the CIA, Paul discovers that the Chinese are planning another computer attack, and he asks Hanna to look into it. Hanna discovers the Raptor Virus, a bug an array of control chips planted in switches and routers throughout the world. However, when it's discovered that Hanna knows the secret, the chase is on as the CIA tries to protect her and her family.",0805423397,The Raptor Virus A Novel
108,Life's Like that,Scenes from Malaysian Life,Lydia Teh,"Meditations on Malaysian life and its complexities and contradictions, including family, pregnancies, babies, motherhood, hobbies, festivities, daily ablutions, pets and other calamities.",UOM:39015064244091,Life's Like that Scenes from Malaysian Life
109,China Vignettes,An Inside Look at China,Dominic Barton,"How to understand the changes sweeping China. The texture of life at a household level is captured in this new book, which seeks to understand lived experience in China, from coast to interior, city to countryside, and across the widening income divide. The book interviews 30 Chinese men and women from different walks of life, and from different regions. Interviewees provide their household budget, a typical daily chronology and they share a sense of each day's pressures and priorities. In addition, 13 well-known Chinese writers, commissioned by editors at Rongshu Publishing, have contributed short stories presenting daily life from the points of view of different ages, genders, professions, income levels and life situations. It contains essays by well-known Chinese sociologist Deng Weizhi and political scientist Cao Peilin which complete the book.",9789810580919,China Vignettes An Inside Look at China
114,Essential Outsiders,Chinese and Jews in the Modern Transformation of Southeast Asia and Central Europe,Daniel Chirot,"Ethnic Chinese in Southeast Asia, like Jews in Central Europe until the Holocaust, have been remarkably successful as an entrepreneurial and professional minority. Whole regimes have sometimes relied on the financial underpinnings of Chinese business to maintain themselves in power, and recently Chinese businesses have led the drive to economic modernization in Southeast Asia. But at the same time, they remain, as the Jews were, the quintessential “outsiders.” In some Southeast Asian countries they are targets of majority nationalist prejudices and suffer from discrimination, even when they are formally integrated into the nation.",0295976136,Essential Outsiders Chinese and Jews in the Modern Transformation of Southeast Asia and Central Europe
116,Descendants of the Dragon,The Chinese in Trinidad 1806-2006,Kim Johnson,"This is the story of culture and hybrids. Being scattered throught the country, the Chinese were sexually and geographically integrated into the national community and thus comfortably lent their talents to the development of Trinidad and Tobago in a more all-embracing way than almost anyone or anywhere else.",UVA:X030255173,Descendants of the Dragon The Chinese in Trinidad 1806-2006
117,Buletin PSMTI,,,On Chinese society in Indonesia.,UOM:39015066095038,
127,Banana Boys,The Play,Leon Aureus,Adapted from the novel by Terry Woo,UCSC:32106019027041,Banana Boys The Play
128,The Dragon's Seed,Peking and the Overseas Chinese,Robert S. Elegant,History of the Chinese in Southeast Asia.,UOM:39015011236430,The Dragon's Seed Peking and the Overseas Chinese
130,Southeast Asia's Chinese Businesses in an Era of Globalization,Coping with the Rise of China,Leo Suryadinata,"""This book addresses the rise of China and its impacts on Southeast Asia's economies and businesses, especially on those of ethnic Chinese. It also discusses Southeast Asian government policies, particularly their economic and business policies, towards local Chinese, and Southeast Asian Chinese businesses, both conglomerates and SMEs, in an era of globalization."" -- BACK COVER.",9812303987,Southeast Asia's Chinese Businesses in an Era of Globalization Coping with the Rise of China
135,Tun Dato Sir Cheng Lock Tan SMN DPMJ (Johore) CBE KBE JP,"A Son of Malacca, a Brief Sketch of Tun Dato Sir Cheng Lok Tan's Dedication Towards Malaysian Nationhood",Agnes Kim Lwi Tan,"This is a brief biography of Tan Cheng-Lock, 1883-1960, a leader of the Chinese in Malaya.",UCAL:B4204064,"Tun Dato Sir Cheng Lock Tan SMN DPMJ (Johore) CBE KBE JP A Son of Malacca, a Brief Sketch of Tun Dato Sir Cheng Lok Tan's Dedication Towards Malaysian Nationhood"
139,Race Relations in Colonial Queensland,"A History of Exclusion, Exploitation, and Extermination",Raymond Evans,"Includes section on Aborigines and Europeans; violent conflict; resistance; native police; racism, stereotypes; alcoholism; infectious disease; prostitution; fringedwellers; government policy; Archibald Meston; Reverend Duncan McNab.",UCAL:B4956256,"Race Relations in Colonial Queensland A History of Exclusion, Exploitation, and Extermination"
140,Swallowing Clouds,,Lillian Ng,A novel about the exploration of sexual passion through the eyes of a young Chinese girl living in Sydney.,UOM:39015046887116,
145,"Doctoral Dissertations on China and on Inner Asia, 1976-1990",An Annotated Bibliography of Studies in Western Languages,Patricia Polansky,"The development of Chinese, Mongolian, and Tibetan Studies in the West since World War II has been accompanied by a dramatic growth in the number of doctoral degrees awarded for research concerned with the countries and civilizations of East Asia. While some of these dissertations have been cited in various sources, until now no definitive reference guide has brought together in a classified, annotated, indexed, and up-to-date manner the entire body of thesis literature on China and Inner Asia written between 1976 and 1990. Included are more than 10,000 entries for dissertations in the humanities and the social sciences, law, medicine, theology, engineering, and other disciplines, with more than half of these works not cited in Dissertation Abstracts International. The entries are classified and grouped together in topical chapters, and the volume includes a detailed table of contents, thousands of cross-references, and three extensive indexes to facilitate use. Each entry includes considerable bibliographic information and a descriptive annotation. The volume also includes information on the availability of the dissertations from UMI, the British Library Document Supply Centre, and other sources worldwide.",UOM:39015064674909,"Doctoral Dissertations on China and on Inner Asia, 1976-1990 An Annotated Bibliography of Studies in Western Languages"
172,The Case for Population Reduction,Miscellaneous papers of Vernon M. Briggs,Vernon M. Briggs,"Collection of papers, reprints, and other publications on immigration and immigration policy, population control and related issues.",CORNELL:31924094740077,The Case for Population Reduction Miscellaneous papers of Vernon M. Briggs
203,The Beauty Bible,The Ultimate Guide to Smart Beauty,Paula Begoun,"Offers beauty advice for women, including information on body care, nail care, medication, sun protection, health treatments, laser surgery, and face lifts.",1877988294,The Beauty Bible The Ultimate Guide to Smart Beauty
205,Human Facial Expression,An Evolutionary View,Alan J. Fridlund,"This unique book provides an integrated view of human facial expressions based on contemporary knowledge about the evolution of signaling across the animal kingdom. Spanning fields that range from psychology and neurology to anthropology and linguistics, it reopens and discusses some of the classic questions in the field, including: What do facial expressions express? What are the relations between facial expressions and our motives and emotions? How did our facial expressions evolve? Are there really innate and universal facial expressions? Human Facial Expression is suitable for graduate and advanced undergraduate use as a text or course supplement. Chapters on the history of interpreting facial expressions, and on Darwin's contributions, set the stage for a thorough discussion of modern evolutionary theory and the biological, cultural, and developmental origins of our facial expressions. The incorporation of recent findings on the syntactics and semantics of animal signaling show the fundamental link of human facial expressions to vocalization and language.",UOM:39015032581343,Human Facial Expression An Evolutionary View
207,How to Wash Your Face,"America's Leading Dermatologist Reveals the Essential Secrets for Youthful, Radiant Skin",Barney Kenet,"An unconventional and sensible guide to healthy skin, from a respected dermatologist, offers non-surgical rejuvenation techniques based on a Skin Profile of four different types of skin, giving a reliable and inexpensive regimen for each type. Reprint. 15,000 first printing.",9780684865584,"How to Wash Your Face America's Leading Dermatologist Reveals the Essential Secrets for Youthful, Radiant Skin"
209,Plastic Surgery,Principles,Geoffrey C. Gurtner,"Fully updated to meet the demands of the 21st-century surgeon, this title provides you with all the most current knowledge and techniques across your entire field, allowing you to offer every patient the best possible outcome. Edited by Drs. Mathes and Hentz in its last edition, this six-volume plastic surgery reference now features new expert leadership, a new organization, new online features, and a vast collection of new information - delivering all the state-of-the-art know-how you need to overcome any challenge you may face. Renowned authorities provide evidence-based guidance to help you make the best clinical decisions, get the best results from each procedure, avoid complications, and exceed your patients' expectations.",9781455710522,Plastic Surgery Principles
211,Non-Invasive Cosmetic Procedures,,R. James Koch,A seven volume series covering the full spectrum of facial plastic and reconstructive surgery - each written by a nationally recognised facial plastic surgeon detailing their own clinical techniques and practices. Each volume is generously illustrated with superb clinical and surgical photos and numerous detailed case study photos. This series will be of great value to both experienced surgeons and as a teaching tool for resident level physicians and can be purchased individually or as a set.,1607951509,
213,Facelifting Without Surgery,,Anna Sophia Karin Wettig,"Facelifting without Surgery is written by Dr. Karin Wettig about her favourite magic recipe for longlasting beauty and a young face for women and men. Since her youth, Dr. Karin Wettig liked to experiment with healthy products for beauty, but a journey to Egypt and Israel brought her a special insight about the mud of the dead sea and its special ingredients. The recommendation she gives for face care without any make up is a combination of products everybody can find in normal shops and easy to combine with the preferred personal cream. No reason to change what you like, but to combine it with Silicea and Dead Sea Mud. Even men will feel the difference with this special face treatment that takes only 5 minutes of the daily time. Apart from some very useful treatment tips, Karin Wettig offers information and photos how to decorate a face in some minutes only and how to observe the right colours for your type as she is a living proof for what she demonstrates in her books. Enjoy!",9783848220366,
278,Climbing the Walls,,Kieran Cunningham,"When mountains are your salvation, what keep your mental weather calm and free of storms, how do you cope if they’re out of reach? After spending a decade restlessly globetrotting in search of a way of life that worked for him, journalist Kieran Cunningham alighted on Sondrio, a small town in Lombardy, Italy. A stone’s throw from the Alps, there he found the perfect combination of fresh mountain air, a strong network of local friends and lots of climbing. Finally he was able to accept and manage his diagnosis of Bipolar 1. And then Lombardy found itself the European epicentre of Covid-19 and subject to the strictest of lockdowns. What does a climber do when his beloved peaks are off limits? When he’s only permitted to leave the house for his weekly sanctioned grocery shop? When all the things that help him maintain his delicate equilibrium are taken away? As Kieran feels his mental health begin to crumble, he looks desperately for something he can climb to help rid him of his excess energy and hopefully get him back on track. Kieran finds himself navigating the walls of his house over and over while gazing at the mountain ranges so tantalisingly close. He dreams of that first euphoric climb – alone in the clouds, tired, happy, sated. Climbing the Walls is a memoir about mental health and the power of nature and exercise. It’s both a devastatingly honest account of living with Bipolar 1 and a love song to small-town Italian life and the high places that keep him healthy.",9781398500211,
295,Italian Workers at Risk During the Covid-19 Epidemic,,Teresa Barbieri,"We analyse the content of Italian occupations operating in about 600 sectors with a focus on the dimensions that expose workers to contagion risks during the COVID-19 epidemics. To do so we leverage extremely detailed and granular information from ICP, the Italian equivalent of O*Net. We find that several sectors need physical proximity to operate: the workers employed in Italy in sectors whose physical proximity index is above the national average are more than 6.5 million (most of them in retail trade). Groups at risk of contagion and complications from COVID-19 (mainly male above the age of 50) work in sectors that are little exposed to physical proximity, currently under lockdown or can work remotely. The sectoral lockdowns put in place by the Italian Government in March 2020 seem to have targeted sectors who operate in physical proximity, but not those directly exposed to infections (the health industry is not subject to lockdown). Most workers who can operate from home have not been put under lockdown and are currently working. Therefore, the number of workers who are not in workplaces could be up to 3 million higher than those whose sector has been shutdown.",OCLC:1183416195,
296,Global Supply Chains in the Pandemic,,Barthélémy Bonadio,"""The authors study the role of global supply chains in the impact of the Covid-19 pandemic on GDP growth for 64 countries. They discipline the labor supply shock across sectors and countries using the fraction of work in the sector that can be done from home, interacted with the stringency with which countries imposed lockdown measures. Using the quantitative framework and methods developed in Huo, Levchenko, and Pandalai-Nayar (2020), they show that the average real GDP downturn due to the Covid-19 shock is expected to be -31.5%, of which -10.7% (or one-third of the total) is due to transmission through global supply chains. However, “renationalization” of global supply chains does not in general make countries more resilient to pandemic-induced contractions in labor supply. The average GDP drop would have been -32.3% in a world without trade in inputs and final goods. This is because eliminating reliance on foreign inputs increases reliance on the domestic inputs, which are also subject to lockdowns. Whether renationalizing supply chains insulates a country from the pandemic depends on whether it plans to impose a more or less stringent lockdown than its trading partners. Finally, unilateral lifting of the lockdowns in the largest economies can contribute as much as 6-8% to GDP growth in some of their smaller trade partners.""--Abstract.",OCLC:1155418281,
303,"Pandemic: Reflections on COVID-19, God's Sovereignty, the Church, & Mission",,Steven R. Martins,"On March 11, 2020, the World Health Organization declared the SARS COVID-2 (COVID-19) virus to be a worldwide pandemic. The news lead to a reaction unlike anything we have seen before, utter pandemonium and governmental lockdown measures that brought most of the world to a stand still. As was expected, the church was not unaffected by the socio-cultural reaction, it too was subject to the lockdowns and later government mandated restrictions. In unprecedented times, members of the church have been asking How do we make sense of COVID-19? Is God still in control of all things? And how can we carry out the Great Commission in a COVID/post-COVID world? Steven R. Martins provides some reflection on these sobering questions.",1777235634,
306,Lockdown Lamentations,A Poem Collection by R.A.N Severin,R a N Severin,"Lockdown Lamentations is a collection of poems by R.A.N Severin, created during the 2020 lockdown in London, UK.These poems reflect a personal journey, characterized and driven by observations, obtained throughout the entirety of the lockdown. Poem by poem the author pivots around a host of emotionally evoked memories, brought forth by the inner or outer implications of the lockdown, whilst also, attempting to make sense of and placing the ever emerging thought processes into a wider context.The main body of the collection centres round the initial March lockdown and also includes the following two lockdowns.The poems often depict a bleak and cheerless canvas, where it appears, the risk of an unfathomable future for humanity itself, is imminent, unless a collective, united mindset is obtained, along with a spiritually combative approach and a willingness to alter the current reality, we find ourselves submerged in.However, there is still a glimmer of hope and a silver lining, in what the author enthusiastically describes, as ""The Real New Order"". This concept, the author suggests, could prove an antidote to the current state of humanity, and deliver the promise of a potentially alternative lockdown outcome, birthed and sustained by love and a non-compliant response to the actual lockdown consequences, such as loss of civil liberties, freedom of speech and democracy.In fact, most of the collection concerns itself with the eroding of democracy as a direct result of the lockdown, while questioning the underlying reasons along with the general state of humanity, as we know or perceive it.There is constant and mercilessly flowing undertone running through the poems, suggesting, time is of essence if, humanity is to be reclaimed and subsequently overhauled, in order to secure a new and enhanced level of human ideals, morals, visions, directions and interactions.Part of the author's lockdown voyage encompasses aspects of race relations arisen from personal experiences, and also by the murder of George Floyd.R.A.N Severin is in no hurry to please with her debut poem collection.She doesn't smooth edges in pursuit of popularity, but rather sticks to her loaded guns, while following her heart.Her delivery is mostly heart-piercing and confrontational, whether the subject matter is race, personal, spiritual or global. Her crunchy take on reality, may be debatable, but never boring and her objective seems to always concern itself with integrity and a steadfast refusal to being taken prisoner or made a victim for her convictions and beliefs.Dive right in and explore R.A.N Severin's debut poem collection with the self imposed risk of yearning to get back on safe, dry ground, or perhaps align with its message, as you embrace your own inner critical thinker.",9798588741378,Lockdown Lamentations A Poem Collection by R.A.N Severin
